-24 0 -0.054
-22.59 5.09256 -0.0533
-21.18 7.09214 -0.0523
-19.76 8.55857 -0.0511
-18.35 9.71921 -0.0496
-16.94 10.6821 -0.0477
-15.53 11.497 -0.0456
-14.12 12.1937 -0.043
-12.71 12.7914 -0.04
-11.29 13.3069 -0.0366
-9.88 13.7426 -0.0331
-8.47 14.1093 -0.0293
-7.06 14.4124 -0.0252
-5.65 14.6558 -0.0209
-4.24 14.8425 -0.0163
-2.82 14.9752 -0.0116
-1.41 15.0536 -0.0067
0 15.0796 -0.0017
1.41 15.0536 0.0033
2.82 14.9752 0.0083
4.24 14.8425 0.0132
5.65 14.6558 0.0179
7.06 14.4124 0.0224
8.47 14.1093 0.0267
9.88 13.7426 0.0307
11.29 13.3069 0.0343
12.71 12.7914 0.0375
14.12 12.1937 0.0402
15.53 11.497 0.0425
16.94 10.6821 0.0443
18.35 9.71921 0.0455
19.76 8.55857 0.0463
21.18 7.09214 0.0466
22.59 5.09256 0.0464
24 0 0.0458
22.59 -5.09256 0.0449
21.18 -7.09214 0.0437
19.76 -8.55857 0.0422
18.35 -9.71921 0.0404
16.94 -10.6821 0.0383
15.53 -11.497 0.0358
14.12 -12.1937 0.0331
12.71 -12.7914 0.0301
11.29 -13.3069 0.0269
9.88 -13.7426 0.0234
8.47 -14.1093 0.0197
7.06 -14.4124 0.0158
5.65 -14.6558 0.0117
4.24 -14.8425 0.0075
2.82 -14.9752 0.0032
1.41 -15.0536 -0.0012
0 -15.0796 -0.0057
-1.41 -15.0536 -0.0102
-2.82 -14.9752 -0.0146
-4.24 -14.8425 -0.0189
-5.65 -14.6558 -0.0232
-7.06 -14.4124 -0.0273
-8.47 -14.1093 -0.0312
-9.88 -13.7426 -0.0349
-11.29 -13.3069 -0.0384
-12.71 -12.7914 -0.0415
-14.12 -12.1937 -0.0444
-15.53 -11.497 -0.0469
-16.94 -10.6821 -0.049
-18.35 -9.71921 -0.0508
-19.76 -8.55857 -0.0522
-21.18 -7.09214 -0.0533
-22.59 -5.09256 -0.0541
-24 -0 -0.0545
-24 -0 -0.054
-24 0 -0.054
-22.59 10.1851 -0.0532
-21.18 14.1843 -0.0521
-19.76 17.1171 -0.0508
-18.35 19.4384 -0.0491
-16.94 21.3642 -0.0471
-15.53 22.994 -0.0449
-14.12 24.3874 -0.0424
-12.71 25.5829 -0.0396
-11.29 26.6139 -0.0365
-9.88 27.4852 -0.033
-8.47 28.2187 -0.0293
-7.06 28.8249 -0.0252
-5.65 29.3116 -0.0207
-4.24 29.6849 -0.016
-2.82 29.9504 -0.0111
-1.41 30.1072 -0.006
0 30.1593 -0.0008
1.41 30.1072 0.0044
2.82 29.9504 0.0098
4.24 29.6849 0.0151
5.65 29.3116 0.0203
7.06 28.8249 0.0253
8.47 28.2187 0.03
9.88 27.4852 0.0344
11.29 26.6139 0.0384
12.71 25.5829 0.042
14.12 24.3874 0.0451
15.53 22.994 0.0478
16.94 21.3642 0.0497
18.35 19.4384 0.0511
19.76 17.1171 0.0518
21.18 14.1843 0.052
22.59 10.1851 0.0515
24 0 0.0506
22.59 -10.1851 0.0491
21.18 -14.1843 0.0473
19.76 -17.1171 0.0451
18.35 -19.4384 0.0426
16.94 -21.3642 0.0399
15.53 -22.994 0.0368
14.12 -24.3874 0.0335
12.71 -25.5829 0.0301
11.29 -26.6139 0.0263
9.88 -27.4852 0.0224
8.47 -28.2187 0.0181
7.06 -28.8249 0.0137
5.65 -29.3116 0.0093
4.24 -29.6849 0.0047
2.82 -29.9504 0.0001
1.41 -30.1072 -0.0044
0 -30.1593 -0.0089
-1.41 -30.1072 -0.0135
-2.82 -29.9504 -0.0179
-4.24 -29.6849 -0.0222
-5.65 -29.3116 -0.0263
-7.06 -28.8249 -0.0302
-8.47 -28.2187 -0.0339
-9.88 -27.4852 -0.0374
-11.29 -26.6139 -0.0406
-12.71 -25.5829 -0.0435
-14.12 -24.3874 -0.0461
-15.53 -22.994 -0.0484
-16.94 -21.3642 -0.0503
-18.35 -19.4384 -0.0519
-19.76 -17.1171 -0.0532
-21.18 -14.1843 -0.0541
-22.59 -10.1851 -0.0547
-24 -0 -0.055
-24 -0 -0.054
-24 0 -0.0582
-22.59 15.2777 -0.057
-21.18 21.2764 -0.0555
-19.76 25.6757 -0.0537
-18.35 29.1576 -0.0516
-16.94 32.0463 -0.0491
-15.53 34.491 -0.0461
-14.12 36.581 -0.0429
-12.71 38.3743 -0.0394
-11.29 39.9208 -0.0357
-9.88 41.2278 -0.0317
-8.47 42.328 -0.0275
-7.06 43.2373 -0.023
-5.65 43.9675 -0.0184
-4.24 44.5274 -0.0136
-2.82 44.9256 -0.0086
-1.41 45.1608 -0.0037
0 45.2389 0.0012
1.41 45.1608 0.0061
2.82 44.9256 0.0108
4.24 44.5274 0.0155
5.65 43.9675 0.0199
7.06 43.2373 0.024
8.47 42.328 0.0278
9.88 41.2278 0.0312
11.29 39.9208 0.0343
12.71 38.3743 0.037
14.12 36.581 0.0392
15.53 34.491 0.041
16.94 32.0463 0.0423
18.35 29.1576 0.0431
19.76 25.6757 0.0434
21.18 21.2764 0.0433
22.59 15.2777 0.0427
24 0 0.0418
22.59 -15.2777 0.0406
21.18 -21.2764 0.0391
19.76 -25.6757 0.0373
18.35 -29.1576 0.0353
16.94 -32.0463 0.033
15.53 -34.491 0.0303
14.12 -36.581 0.0274
12.71 -38.3743 0.0242
11.29 -39.9208 0.0209
9.88 -41.2278 0.0173
8.47 -42.328 0.0133
7.06 -43.2373 0.0093
5.65 -43.9675 0.0051
4.24 -44.5274 0.0009
2.82 -44.9256 -0.0035
1.41 -45.1608 -0.008
0 -45.2389 -0.0125
-1.41 -45.1608 -0.017
-2.82 -44.9256 -0.0214
-4.24 -44.5274 -0.0259
-5.65 -43.9675 -0.0302
-7.06 -43.2373 -0.0344
-8.47 -42.328 -0.0382
-9.88 -41.2278 -0.0418
-11.29 -39.9208 -0.0452
-12.71 -38.3743 -0.0483
-14.12 -36.581 -0.0511
-15.53 -34.491 -0.0534
-16.94 -32.0463 -0.0553
-18.35 -29.1576 -0.0569
-19.76 -25.6757 -0.058
-21.18 -21.2764 -0.0586
-22.59 -15.2777 -0.059
-24 -0 -0.059
-24 -0 -0.0582
-24 0 -0.0504
-22.59 20.3702 -0.0493
-21.18 28.3686 -0.048
-19.76 34.2343 -0.0463
-18.35 38.8768 -0.0442
-16.94 42.7284 -0.0419
-15.53 45.988 -0.0392
-14.12 48.7747 -0.0365
-12.71 51.1657 -0.0334
