Index	Psi_j	d_Psi_j	Cn
0	-5	0	-0.020061
1	-4.98459	0.492973	-0.0199751
2	-4.93844	0.982907	-0.0197844
3	-4.86185	1.46678	-0.019493
4	-4.75528	1.94161	-0.019105
5	-4.6194	2.40447	-0.0186228
6	-4.45503	2.85251	-0.0180492
7	-4.2632	3.28296	-0.0173879
8	-4.04508	3.69316	-0.0166847
9	-3.80203	4.0806	-0.0159128
10	-3.53553	4.44288	-0.0150166
11	-3.24724	4.77777	-0.0140315
12	-2.93893	5.0832	-0.0129834
13	-2.61249	5.3573	-0.0119147
14	-2.26995	5.59836	-0.0107821
15	-1.91342	5.80491	-0.00952138
16	-1.54508	5.97566	-0.00822389
17	-1.16723	6.10958	-0.00696442
18	-0.782172	6.20583	-0.00564867
19	-0.392295	6.26382	-0.00425939
20	-3.06E-16	6.28319	-0.00286667
21	0.392295	6.26382	-0.00161819
22	0.782172	6.20583	-0.000250513
23	1.16723	6.10958	0.00110161
24	1.54508	5.97566	0.00236358
25	1.91342	5.80491	0.00351505
26	2.26995	5.59836	0.00474757
27	2.61249	5.3573	0.00592444
28	2.93893	5.0832	0.00697381
29	3.24724	4.77777	0.00785052
30	3.53553	4.44288	0.00875956
31	3.80203	4.0806	0.00961438
32	4.04508	3.69316	0.0103831
33	4.2632	3.28296	0.0110489
34	4.45503	2.85251	0.0115328
35	4.6194	2.40447	0.0119322
36	4.75528	1.94161	0.0122446
37	4.86185	1.46678	0.0124682
38	4.93844	0.982907	0.0126161
39	4.98459	0.492973	0.0126676
40	5	7.69E-16	0.0126151
41	4.98459	-0.492973	0.0124591
42	4.93844	-0.982907	0.012224
43	4.86185	-1.46678	0.0119049
44	4.75528	-1.94161	0.011499
45	4.6194	-2.40447	0.0110088
46	4.45503	-2.85251	0.0104373
47	4.2632	-3.28296	0.00978814
48	4.04508	-3.69316	0.00896476
49	3.80203	-4.0806	0.00804729
50	3.53553	-4.44288	0.00714883
51	3.24724	-4.77777	0.00622339
52	2.93893	-5.0832	0.00524266
53	2.61249	-5.3573	0.00409994
54	2.26995	-5.59836	0.00288963
55	1.91342	-5.80491	0.00174913
56	1.54508	-5.97566	0.000577261
57	1.16723	-6.10958	-0.000724742
58	0.782172	-6.20583	-0.0020287
59	0.392295	-6.26382	-0.00327972
60	9.18E-16	-6.28319	-0.00453333
61	-0.392295	-6.26382	-0.00592092
62	-0.782172	-6.20583	-0.00716638
63	-1.16723	-6.10958	-0.00838492
64	-1.54508	-5.97566	-0.00961325
65	-1.91342	-5.80491	-0.0108473
66	-2.26995	-5.59836	-0.0119412
67	-2.61249	-5.3573	-0.0129879
68	-2.93893	-5.0832	-0.0140017
69	-3.24724	-4.77777	-0.0149887
70	-3.53553	-4.44288	-0.0158501
71	-3.80203	-4.0806	-0.0166276
72	-4.04508	-3.69316	-0.0173316
73	-4.2632	-3.28296	-0.017963
74	-4.45503	-2.85251	-0.0185489
75	-4.6194	-2.40447	-0.019044
76	-4.75528	-1.94161	-0.0194451
77	-4.86185	-1.46678	-0.01975
78	-4.93844	-0.982907	-0.0199497
79	-4.98459	-0.492973	-0.0200525
