Index	Psi_j	d_Psi_j	Cn
0	-15	0	-0.0452955
1	-14.9846	0.492973	-0.0452398
2	-14.9384	0.982907	-0.045129
3	-14.8618	1.46678	-0.0449627
4	-14.7553	1.94161	-0.044742
5	-14.6194	2.40447	-0.0444687
6	-14.455	2.85251	-0.0441445
7	-14.2632	3.28296	-0.0437715
8	-14.0451	3.69316	-0.0433321
9	-13.802	4.0806	-0.042804
10	-13.5355	4.44288	-0.0422254
11	-13.2472	4.77777	-0.0415996
12	-12.9389	5.0832	-0.0409333
13	-12.6125	5.3573	-0.0402209
14	-12.27	5.59836	-0.0394437
15	-11.9134	5.80491	-0.0385848
16	-11.5451	5.97566	-0.0377003
17	-11.1672	6.10958	-0.0367795
18	-10.7822	6.20583	-0.0358148
19	-10.3923	6.26382	-0.0348511
20	-10	6.28319	-0.033884
21	-9.6077	6.26382	-0.0328706
22	-9.21783	6.20583	-0.0318345
23	-8.83277	6.10958	-0.03081
24	-8.45492	5.97566	-0.0298057
25	-8.08658	5.80491	-0.0287931
26	-7.73005	5.59836	-0.02778
27	-7.38751	5.3573	-0.0268069
28	-7.06107	5.0832	-0.0258828
29	-6.75276	4.77777	-0.0250047
30	-6.46447	4.44288	-0.0241742
31	-6.19797	4.0806	-0.0233935
32	-5.95492	3.69316	-0.022686
33	-5.7368	3.28296	-0.0220559
34	-5.54497	2.85251	-0.0215048
35	-5.3806	2.40447	-0.021037
36	-5.24472	1.94161	-0.0206575
37	-5.13815	1.46678	-0.0203686
38	-5.06156	0.982907	-0.0201722
39	-5.01541	0.492973	-0.0200695
40	-5	7.69E-16	-0.020061
41	-5.01541	-0.492973	-0.0201468
42	-5.06156	-0.982907	-0.0203265
43	-5.13815	-1.46678	-0.0205988
44	-5.24472	-1.94161	-0.0209622
45	-5.3806	-2.40447	-0.0214143
46	-5.54497	-2.85251	-0.0219524
47	-5.7368	-3.28296	-0.0225711
48	-5.95492	-3.69316	-0.0232655
49	-6.19797	-4.0806	-0.0240298
50	-6.46447	-4.44288	-0.0248345
51	-6.75276	-4.77777	-0.0257008
52	-7.06107	-5.0832	-0.0266234
53	-7.38751	-5.3573	-0.0275875
54	-7.73005	-5.59836	-0.0285696
55	-8.08658	-5.80491	-0.0295748
56	-8.45492	-5.97566	-0.0306104
57	-8.83277	-6.10958	-0.0316327
58	-9.21783	-6.20583	-0.0326575
59	-9.6077	-6.26382	-0.033691
60	-10	-6.28319	-0.0347069
61	-10.3923	-6.26382	-0.0356765
62	-10.7822	-6.20583	-0.0366485
63	-11.1672	-6.10958	-0.0376059
64	-11.5451	-5.97566	-0.0385087
65	-11.9134	-5.80491	-0.0393344
66	-12.27	-5.59836	-0.0401082
67	-12.6125	-5.3573	-0.0408492
68	-12.9389	-5.0832	-0.0415294
69	-13.2472	-4.77777	-0.042158
70	-13.5355	-4.44288	-0.0427387
71	-13.802	-4.0806	-0.0432725
72	-14.0451	-3.69316	-0.0437561
73	-14.2632	-3.28296	-0.0441485
74	-14.455	-2.85251	-0.044472
75	-14.6194	-2.40447	-0.0447447
76	-14.7553	-1.94161	-0.0449645
77	-14.8618	-1.46678	-0.0451296
78	-14.9384	-0.982907	-0.0452402
79	-14.9846	-0.492973	-0.0452956
