-24 0
-22.59 5.09256
-21.18 7.09214
-19.76 8.55857
-18.35 9.71921
-16.94 10.6821
-15.53 11.497
-14.12 12.1937
-12.71 12.7914
-11.29 13.3069
-9.88 13.7426
-8.47 14.1093
-7.06 14.4124
-5.65 14.6558
-4.24 14.8425
-2.82 14.9752
-1.41 15.0536
0 15.0796
1.41 15.0536
2.82 14.9752
4.24 14.8425
5.65 14.6558
7.06 14.4124
8.47 14.1093
9.88 13.7426
11.29 13.3069
12.71 12.7914
14.12 12.1937
15.53 11.497
16.94 10.6821
18.35 9.71921
19.76 8.55857
21.18 7.09214
22.59 5.09256
24 0
22.59 -5.09256
21.18 -7.09214
19.76 -8.55857
18.35 -9.71921
16.94 -10.6821
15.53 -11.497
14.12 -12.1937
12.71 -12.7914
11.29 -13.3069
9.88 -13.7426
8.47 -14.1093
7.06 -14.4124
5.65 -14.6558
4.24 -14.8425
2.82 -14.9752
1.41 -15.0536
0 -15.0796
-1.41 -15.0536
-2.82 -14.9752
-4.24 -14.8425
-5.65 -14.6558
-7.06 -14.4124
-8.47 -14.1093
-9.88 -13.7426
-11.29 -13.3069
-12.71 -12.7914
-14.12 -12.1937
-15.53 -11.497
-16.94 -10.6821
-18.35 -9.71921
-19.76 -8.55857
-21.18 -7.09214
-22.59 -5.09256
-24 -0
-24 -0
-24 0
-22.59 10.1851
-21.18 14.1843
-19.76 17.1171
-18.35 19.4384
-16.94 21.3642
-15.53 22.994
-14.12 24.3874
-12.71 25.5829
-11.29 26.6139
-9.88 27.4852
-8.47 28.2187
-7.06 28.8249
-5.65 29.3116
-4.24 29.6849
-2.82 29.9504
-1.41 30.1072
0 30.1593
1.41 30.1072
2.82 29.9504
4.24 29.6849
5.65 29.3116
7.06 28.8249
8.47 28.2187
9.88 27.4852
11.29 26.6139
12.71 25.5829
14.12 24.3874
15.53 22.994
16.94 21.3642
18.35 19.4384
19.76 17.1171
21.18 14.1843
22.59 10.1851
24 0
22.59 -10.1851
21.18 -14.1843
19.76 -17.1171
18.35 -19.4384
16.94 -21.3642
15.53 -22.994
14.12 -24.3874
12.71 -25.5829
11.29 -26.6139
9.88 -27.4852
8.47 -28.2187
7.06 -28.8249
5.65 -29.3116
4.24 -29.6849
2.82 -29.9504
1.41 -30.1072
0 -30.1593
-1.41 -30.1072
-2.82 -29.9504
-4.24 -29.6849
-5.65 -29.3116
-7.06 -28.8249
-8.47 -28.2187
-9.88 -27.4852
-11.29 -26.6139
-12.71 -25.5829
-14.12 -24.3874
-15.53 -22.994
-16.94 -21.3642
-18.35 -19.4384
-19.76 -17.1171
-21.18 -14.1843
-22.59 -10.1851
-24 -0
-24 -0
-24 0
-22.59 15.2777
-21.18 21.2764
-19.76 25.6757
-18.35 29.1576
-16.94 32.0463
-15.53 34.491
-14.12 36.581
-12.71 38.3743
-11.29 39.9208
-9.88 41.2278
-8.47 42.328
-7.06 43.2373
-5.65 43.9675
-4.24 44.5274
-2.82 44.9256
-1.41 45.1608
0 45.2389
1.41 45.1608
2.82 44.9256
4.24 44.5274
5.65 43.9675
7.06 43.2373
8.47 42.328
9.88 41.2278
11.29 39.9208
12.71 38.3743
14.12 36.581
15.53 34.491
16.94 32.0463
18.35 29.1576
19.76 25.6757
21.18 21.2764
22.59 15.2777
24 0
22.59 -15.2777
21.18 -21.2764
19.76 -25.6757
18.35 -29.1576
16.94 -32.0463
15.53 -34.491
14.12 -36.581
12.71 -38.3743
11.29 -39.9208
9.88 -41.2278
8.47 -42.328
7.06 -43.2373
5.65 -43.9675
4.24 -44.5274
2.82 -44.9256
1.41 -45.1608
0 -45.2389
-1.41 -45.1608
-2.82 -44.9256
-4.24 -44.5274
-5.65 -43.9675
-7.06 -43.2373
-8.47 -42.328
-9.88 -41.2278
-11.29 -39.9208
-12.71 -38.3743
-14.12 -36.581
-15.53 -34.491
-16.94 -32.0463
-18.35 -29.1576
-19.76 -25.6757
-21.18 -21.2764
-22.59 -15.2777
-24 -0
-24 -0
-24 0
-22.59 20.3702
-21.18 28.3686
-19.76 34.2343
-18.35 38.8768
-16.94 42.7284
-15.53 45.988
-14.12 48.7747
-12.71 51.1657
-11.29 53.2278
-9.88 54.9704
-8.47 56.4374
-7.06 57.6497
