Index	Psi_j	d_Psi_j	Cn
0	5	0	0.0126151
1	5.01541	0.492973	0.0127712
2	5.06156	0.982907	0.01303
3	5.13815	1.46678	0.0133898
4	5.24472	1.94161	0.0138484
5	5.3806	2.40447	0.0144031
6	5.54497	2.85251	0.0150503
7	5.7368	3.28296	0.0157436
8	5.95492	3.69316	0.0164567
9	6.19797	4.0806	0.0172491
10	6.46447	4.44288	0.0181931
11	6.75276	4.77777	0.0192013
12	7.06107	5.0832	0.0202668
13	7.38751	5.3573	0.0212164
14	7.73005	5.59836	0.0222927
15	8.08658	5.80491	0.0234502
16	8.45492	5.97566	0.0246355
17	8.83277	6.10958	0.0256441
18	9.21783	6.20583	0.026774
19	9.6077	6.26382	0.0279224
20	10	6.28319	0.0290068
21	10.3923	6.26382	0.0299725
22	10.7822	6.20583	0.0309853
23	11.1672	6.10958	0.0319748
24	11.5451	5.97566	0.0328106
25	11.9134	5.80491	0.0336003
26	12.27	5.59836	0.0343815
27	12.6125	5.3573	0.0351197
28	12.9389	5.0832	0.0357294
29	13.2472	4.77777	0.036262
30	13.5355	4.44288	0.0367521
31	13.802	4.0806	0.0371899
32	14.0451	3.69316	0.0375725
33	14.2632	3.28296	0.0378594
34	14.455	2.85251	0.0380738
35	14.6194	2.40447	0.0382345
36	14.7553	1.94161	0.0383405
37	14.8618	1.46678	0.0383913
38	14.9384	0.982907	0.0383863
39	14.9846	0.492973	0.0383254
40	15	7.69E-16	0.0382092
41	14.9846	-0.492973	0.0380382
42	14.9384	-0.982907	0.0378135
43	14.8618	-1.46678	0.0375368
44	14.7553	-1.94161	0.0372098
45	14.6194	-2.40447	0.0368344
46	14.455	-2.85251	0.0364129
47	14.2632	-3.28296	0.0359478
48	14.0451	-3.69316	0.0354221
49	13.802	-4.0806	0.0348139
50	13.5355	-4.44288	0.0341701
51	13.2472	-4.77777	0.0334952
52	12.9389	-5.0832	0.0327887
53	12.6125	-5.3573	0.0320204
54	12.27	-5.59836	0.0311528
55	11.9134	-5.80491	0.0303279
56	11.5451	-5.97566	0.0294876
57	11.1672	-6.10958	0.0285772
58	10.7822	-6.20583	0.0275671
59	10.3923	-6.26382	0.026616
60	10	-6.28319	0.0256692
61	9.6077	-6.26382	0.0245951
62	9.21783	-6.20583	0.0235747
63	8.83277	-6.10958	0.022613
64	8.45492	-5.97566	0.0216709
65	8.08658	-5.80491	0.0205703
66	7.73005	-5.59836	0.0196385
67	7.38751	-5.3573	0.0187631
68	7.06107	-5.0832	0.017939
69	6.75276	-4.77777	0.0170133
70	6.46447	-4.44288	0.0161988
71	6.19797	-4.0806	0.0155103
72	5.95492	-3.69316	0.0148943
73	5.7368	-3.28296	0.0143548
74	5.54497	-2.85251	0.0138436
75	5.3806	-2.40447	0.0133859
76	5.24472	-1.94161	0.013027
77	5.13815	-1.46678	0.0127693
78	5.06156	-0.982907	0.0126141
79	5.01541	-0.492973	0.0125627
