          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  21.99 -22.43  18.43 -25.39   8.53   .7722   .3959   .0077   .8646  -.0287   .3235  -.0540   .0609   .2 25.0 99.0  20.25 -24.00    .00
  21.78 -21.12  18.64 -23.91   8.07   .7744   .3907   .0082   .8646  -.0287   .3195  -.0532   .0601   .2 25.0 99.0  20.25 -22.59    .00
  21.59 -19.81  18.83 -22.44   7.59   .7774   .3843   .0087   .8651  -.0289   .3133  -.0521   .0589   .2 25.0 99.0  20.25 -21.18    .00
  21.41 -18.50  19.01 -20.96   7.11   .7811   .3769   .0092   .8657  -.0293   .3054  -.0508   .0572   .2 25.0 99.0  20.25 -19.76    .00
  21.24 -17.18  19.18 -19.47   6.63   .7855   .3685   .0098   .8666  -.0299   .2954  -.0491   .0551   .2 25.0 99.0  20.25 -18.35    .00
  21.09 -15.87  19.34 -17.99   6.14   .7903   .3593   .0104   .8677  -.0306   .2836  -.0471   .0527   .2 25.0 99.0  20.25 -16.94    .00
  20.95 -14.55  19.48 -16.50   5.64   .7955   .3495   .0109   .8688  -.0315   .2698  -.0449   .0498   .2 25.0 99.0  20.25 -15.53    .00
  20.83 -13.23  19.61 -15.01   5.14   .8009   .3393   .0115   .8700  -.0325   .2540  -.0424   .0466   .2 25.0 99.0  20.25 -14.12    .00
  20.72 -11.91  19.73 -13.51   4.64   .8063   .3289   .0120   .8712  -.0336   .2360  -.0396   .0431   .2 25.0 99.0  20.25 -12.71    .00
  20.62 -10.59  19.84 -12.02   4.13   .8117   .3186   .0125   .8724  -.0349   .2161  -.0365   .0393   .2 25.0 99.0  20.25 -11.29    .00
  20.53  -9.27  19.94 -10.52   3.62   .8167   .3086   .0130   .8734  -.0361   .1942  -.0330   .0352   .2 25.0 99.0  20.25  -9.88    .00
  20.45  -7.94  20.02  -9.02   3.11   .8213   .2992   .0134   .8741  -.0374   .1704  -.0293   .0308   .2 25.0 99.0  20.25  -8.47    .00
  20.39  -6.62  20.09  -7.52   2.60   .8253   .2907   .0138   .8746  -.0388   .1451  -.0252   .0262   .2 25.0 99.0  20.25  -7.06    .00
  20.34  -5.30  20.15  -6.02   2.08   .8284   .2831   .0140   .8747  -.0401   .1181  -.0207   .0215   .2 25.0 99.0  20.25  -5.65    .00
  20.30  -3.97  20.19  -4.51   1.56   .8305   .2768   .0142   .8744  -.0415   .0899  -.0160   .0165   .2 25.0 99.0  20.25  -4.24    .00
  20.27  -2.65  20.22  -3.01   1.04   .8315   .2723   .0143   .8736  -.0428   .0609  -.0111   .0115   .2 25.0 99.0  20.25  -2.82    .00
  20.26  -1.32  20.24  -1.50    .52   .8315   .2693   .0143   .8725  -.0440   .0312  -.0060   .0064   .2 25.0 99.0  20.25  -1.41    .00
  20.25    .00  20.25    .00    .00   .8305   .2680   .0142   .8711  -.0452   .0010  -.0008   .0013   .2 25.0 99.0  20.25    .00    .00
  20.26   1.32  20.24   1.50   -.52   .8285   .2685   .0141   .8694  -.0462  -.0291   .0044  -.0037   .2 25.0 99.0  20.25   1.41    .00
  20.27   2.65  20.22   3.01  -1.04   .8255   .2708   .0139   .8674  -.0471  -.0588   .0098  -.0088   .2 25.0 99.0  20.25   2.82    .00
  20.30   3.97  20.19   4.51  -1.56   .8214   .2748   .0137   .8651  -.0478  -.0881   .0151  -.0137   .2 25.0 99.0  20.25   4.24    .00
  20.34   5.30  20.15   6.02  -2.08   .8165   .2802   .0134   .8625  -.0483  -.1162   .0203  -.0184   .2 25.0 99.0  20.25   5.65    .00
  20.39   6.62  20.09   7.52  -2.60   .8108   .2869   .0131   .8597  -.0487  -.1428   .0253  -.0230   .2 25.0 99.0  20.25   7.06    .00
  20.45   7.94  20.02   9.02  -3.11   .8045   .2945   .0128   .8566  -.0490  -.1679   .0300  -.0273   .2 25.0 99.0  20.25   8.47    .00
  20.53   9.27  19.94  10.52  -3.62   .7979   .3027   .0125   .8534  -.0492  -.1911   .0344  -.0314   .2 25.0 99.0  20.25   9.88    .00
  20.62  10.59  19.84  12.02  -4.13   .7910   .3113   .0123   .8502  -.0492  -.2119   .0384  -.0352   .2 25.0 99.0  20.25  11.29    .00
  20.72  11.91  19.73  13.51  -4.64   .7843   .3198   .0121   .8471  -.0491  -.2303   .0420  -.0386   .2 25.0 99.0  20.25  12.71    .00
  20.83  13.23  19.61  15.01  -5.14   .7779   .3280   .0119   .8441  -.0489  -.2461   .0451  -.0417   .2 25.0 99.0  20.25  14.12    .00
  20.95  14.55  19.48  16.50  -5.64   .7721   .3355   .0118   .8415  -.0487  -.2590   .0478  -.0443   .2 25.0 99.0  20.25  15.53    .00
  21.09  15.87  19.34  17.99  -6.14   .7671   .3420   .0118   .8392  -.0483  -.2690   .0497  -.0465   .2 25.0 99.0  20.25  16.94    .00
  21.24  17.18  19.18  19.47  -6.63   .7630   .3471   .0118   .8373  -.0480  -.2761   .0511  -.0483   .2 25.0 99.0  20.25  18.35    .00
  21.41  18.50  19.01  20.96  -7.11   .7600   .3505   .0120   .8357  -.0476  -.2802   .0518  -.0495   .2 25.0 99.0  20.25  19.76    .00
  21.59  19.81  18.83  22.44  -7.59   .7583   .3520   .0122   .8347  -.0472  -.2817   .0520  -.0503   .2 25.0 99.0  20.25  21.18    .00
  21.78  21.12  18.64  23.91  -8.07   .7577   .3515   .0124   .8340  -.0469  -.2805   .0515  -.0506   .2 25.0 99.0  20.25  22.59    .00
  21.99  22.43  18.43  25.39  -8.53   .7587   .3490   .0127   .8339  -.0466  -.2772   .0506  -.0503   .2 25.0 99.0  20.25  24.00    .00
  21.78  21.12  18.64  23.91  -8.07   .7610   .3444   .0130   .8345  -.0464  -.2718   .0491  -.0496   .2 25.0 99.0  20.25  22.59    .00
  21.59  19.81  18.83  22.44  -7.59   .7642   .3391   .0133   .8355  -.0462  -.2647   .0473  -.0485   .2 25.0 99.0  20.25  21.18    .00
  21.41  18.50  19.01  20.96  -7.11   .7680   .3332   .0136   .8369  -.0460  -.2560   .0451  -.0469   .2 25.0 99.0  20.25  19.76    .00
  21.24  17.18  19.18  19.47  -6.63   .7724   .3268   .0138   .8386  -.0459  -.2456   .0426  -.0449   .2 25.0 99.0  20.25  18.35    .00
  21.09  15.87  19.34  17.99  -6.14   .7772   .3199   .0140   .8406  -.0457  -.2335   .0399  -.0424   .2 25.0 99.0  20.25  16.94    .00
  20.95  14.55  19.48  16.50  -5.64   .7825   .3127   .0142   .8429  -.0455  -.2199   .0368  -.0396   .2 25.0 99.0  20.25  15.53    .00
  20.83  13.23  19.61  15.01  -5.14   .7882   .3054   .0144   .8455  -.0453  -.2044   .0335  -.0364   .2 25.0 99.0  20.25  14.12    .00
  20.72  11.91  19.73  13.51  -4.64   .7938   .2980   .0146   .8479  -.0451  -.1874   .0301  -.0328   .2 25.0 99.0  20.25  12.71    .00
  20.62  10.59  19.84  12.02  -4.13   .7995   .2910   .0147   .8506  -.0449  -.1690   .0263  -.0290   .2 25.0 99.0  20.25  11.29    .00
  20.53   9.27  19.94  10.52  -3.62   .8048   .2842   .0148   .8531  -.0447  -.1491   .0224  -.0248   .2 25.0 99.0  20.25   9.88    .00
  20.45   7.94  20.02   9.02  -3.11   .8099   .2782   .0147   .8556  -.0444  -.1277   .0181  -.0205   .2 25.0 99.0  20.25   8.47    .00
  20.39   6.62  20.09   7.52  -2.60   .8146   .2730   .0146   .8581  -.0441  -.1051   .0137  -.0159   .2 25.0 99.0  20.25   7.06    .00
  20.34   5.30  20.15   6.02  -2.08   .8188   .2691   .0145   .8605  -.0438  -.0815   .0093  -.0112   .2 25.0 99.0  20.25   5.65    .00
