          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  21.99 -22.43  18.43 -25.39   8.53   .7669   .3892   .0062   .8572  -.0323   .3222  -.0504   .0603   .4 25.0 99.0  20.25 -24.00    .00
  21.78 -21.12  18.64 -23.91   8.07   .7685   .3838   .0066   .8565  -.0321   .3170  -.0493   .0593   .4 25.0 99.0  20.25 -22.59    .00
  21.59 -19.81  18.83 -22.44   7.59   .7709   .3773   .0071   .8563  -.0321   .3096  -.0480   .0579   .4 25.0 99.0  20.25 -21.18    .00
  21.41 -18.50  19.01 -20.96   7.11   .7740   .3695   .0075   .8563  -.0325   .3002  -.0463   .0561   .4 25.0 99.0  20.25 -19.76    .00
  21.24 -17.18  19.18 -19.47   6.63   .7774   .3608   .0080   .8562  -.0329   .2887  -.0442   .0539   .4 25.0 99.0  20.25 -18.35    .00
  21.09 -15.87  19.34 -17.99   6.14   .7808   .3514   .0085   .8559  -.0335   .2756  -.0419   .0513   .4 25.0 99.0  20.25 -16.94    .00
  20.95 -14.55  19.48 -16.50   5.64   .7848   .3413   .0090   .8558  -.0342   .2605  -.0392   .0483   .4 25.0 99.0  20.25 -15.53    .00
  20.83 -13.23  19.61 -15.01   5.14   .7889   .3309   .0095   .8559  -.0351   .2435  -.0365   .0449   .4 25.0 99.0  20.25 -14.12    .00
  20.72 -11.91  19.73 -13.51   4.64   .7930   .3202   .0100   .8557  -.0363   .2243  -.0334   .0412   .4 25.0 99.0  20.25 -12.71    .00
  20.62 -10.59  19.84 -12.02   4.13   .7973   .3096   .0105   .8557  -.0374   .2032  -.0301   .0373   .4 25.0 99.0  20.25 -11.29    .00
  20.53  -9.27  19.94 -10.52   3.62   .8015   .2997   .0109   .8560  -.0385   .1807  -.0266   .0331   .4 25.0 99.0  20.25  -9.88    .00
  20.45  -7.94  20.02  -9.02   3.11   .8051   .2902   .0113   .8559  -.0398   .1564  -.0227   .0286   .4 25.0 99.0  20.25  -8.47    .00
  20.39  -6.62  20.09  -7.52   2.60   .8083   .2817   .0116   .8557  -.0411   .1310  -.0186   .0240   .4 25.0 99.0  20.25  -7.06    .00
  20.34  -5.30  20.15  -6.02   2.08   .8111   .2741   .0119   .8555  -.0426   .1044  -.0144   .0192   .4 25.0 99.0  20.25  -5.65    .00
  20.30  -3.97  20.19  -4.51   1.56   .8134   .2680   .0122   .8553  -.0440   .0764  -.0098   .0143   .4 25.0 99.0  20.25  -4.24    .00
  20.27  -2.65  20.22  -3.01   1.04   .8147   .2636   .0123   .8550  -.0455   .0478  -.0053   .0093   .4 25.0 99.0  20.25  -2.82    .00
  20.26  -1.32  20.24  -1.50    .52   .8151   .2606   .0124   .8542  -.0469   .0186  -.0007   .0043   .4 25.0 99.0  20.25  -1.41    .00
  20.25    .00  20.25    .00    .00   .8149   .2594   .0125   .8536  -.0482  -.0106   .0041  -.0007   .4 25.0 99.0  20.25    .00    .00
  20.26   1.32  20.24   1.50   -.52   .8140   .2600   .0125   .8529  -.0494  -.0391   .0087  -.0056   .4 25.0 99.0  20.25   1.41    .00
  20.27   2.65  20.22   3.01  -1.04   .8122   .2622   .0125   .8521  -.0507  -.0671   .0133  -.0104   .4 25.0 99.0  20.25   2.82    .00
  20.30   3.97  20.19   4.51  -1.56   .8096   .2662   .0124   .8511  -.0517  -.0945   .0179  -.0151   .4 25.0 99.0  20.25   4.24    .00
  20.34   5.30  20.15   6.02  -2.08   .8065   .2717   .0124   .8502  -.0525  -.1206   .0221  -.0196   .4 25.0 99.0  20.25   5.65    .00
  20.39   6.62  20.09   7.52  -2.60   .8028   .2784   .0123   .8492  -.0533  -.1453   .0262  -.0239   .4 25.0 99.0  20.25   7.06    .00
  20.45   7.94  20.02   9.02  -3.11   .7988   .2860   .0123   .8482  -.0540  -.1684   .0301  -.0279   .4 25.0 99.0  20.25   8.47    .00
  20.53   9.27  19.94  10.52  -3.62   .7944   .2942   .0122   .8472  -.0545  -.1893   .0336  -.0317   .4 25.0 99.0  20.25   9.88    .00
  20.62  10.59  19.84  12.02  -4.13   .7899   .3028   .0122   .8461  -.0548  -.2077   .0370  -.0351   .4 25.0 99.0  20.25  11.29    .00
  20.72  11.91  19.73  13.51  -4.64   .7853   .3115   .0123   .8450  -.0548  -.2238   .0399  -.0382   .4 25.0 99.0  20.25  12.71    .00
  20.83  13.23  19.61  15.01  -5.14   .7809   .3199   .0123   .8439  -.0547  -.2378   .0422  -.0409   .4 25.0 99.0  20.25  14.12    .00
  20.95  14.55  19.48  16.50  -5.64   .7768   .3275   .0124   .8428  -.0546  -.2494   .0441  -.0432   .4 25.0 99.0  20.25  15.53    .00
  21.09  15.87  19.34  17.99  -6.14   .7733   .3341   .0126   .8420  -.0545  -.2580   .0454  -.0451   .4 25.0 99.0  20.25  16.94    .00
  21.24  17.18  19.18  19.47  -6.63   .7705   .3393   .0128   .8413  -.0541  -.2638   .0464  -.0466   .4 25.0 99.0  20.25  18.35    .00
  21.41  18.50  19.01  20.96  -7.11   .7684   .3428   .0131   .8406  -.0536  -.2667   .0468  -.0476   .4 25.0 99.0  20.25  19.76    .00
  21.59  19.81  18.83  22.44  -7.59   .7670   .3446   .0134   .8399  -.0532  -.2678   .0468  -.0481   .4 25.0 99.0  20.25  21.18    .00
  21.78  21.12  18.64  23.91  -8.07   .7666   .3444   .0137   .8395  -.0527  -.2666   .0462  -.0481   .4 25.0 99.0  20.25  22.59    .00
  21.99  22.43  18.43  25.39  -8.53   .7671   .3419   .0140   .8391  -.0522  -.2629   .0451  -.0477   .4 25.0 99.0  20.25  24.00    .00
  21.78  21.12  18.64  23.91  -8.07   .7689   .3374   .0144   .8391  -.0518  -.2572   .0435  -.0468   .4 25.0 99.0  20.25  22.59    .00
  21.59  19.81  18.83  22.44  -7.59   .7713   .3322   .0148   .8395  -.0514  -.2502   .0416  -.0455   .4 25.0 99.0  20.25  21.18    .00
  21.41  18.50  19.01  20.96  -7.11   .7742   .3262   .0151   .8400  -.0511  -.2409   .0394  -.0437   .4 25.0 99.0  20.25  19.76    .00
  21.24  17.18  19.18  19.47  -6.63   .7775   .3196   .0153   .8407  -.0508  -.2299   .0369  -.0416   .4 25.0 99.0  20.25  18.35    .00
  21.09  15.87  19.34  17.99  -6.14   .7811   .3127   .0156   .8415  -.0505  -.2185   .0342  -.0390   .4 25.0 99.0  20.25  16.94    .00
  20.95  14.55  19.48  16.50  -5.64   .7852   .3055   .0158   .8427  -.0502  -.2054   .0310  -.0361   .4 25.0 99.0  20.25  15.53    .00
  20.83  13.23  19.61  15.01  -5.14   .7893   .2980   .0160   .8438  -.0499  -.1903   .0278  -.0329   .4 25.0 99.0  20.25  14.12    .00
  20.72  11.91  19.73  13.51  -4.64   .7936   .2905   .0160   .8450  -.0495  -.1729   .0242  -.0293   .4 25.0 99.0  20.25  12.71    .00
  20.62  10.59  19.84  12.02  -4.13   .7978   .2833   .0161   .8462  -.0490  -.1543   .0204  -.0254   .4 25.0 99.0  20.25  11.29    .00
  20.53   9.27  19.94  10.52  -3.62   .8018   .2767   .0160   .8475  -.0485  -.1348   .0163  -.0212   .4 25.0 99.0  20.25   9.88    .00
  20.45   7.94  20.02   9.02  -3.11   .8055   .2706   .0159   .8487  -.0482  -.1143   .0120  -.0169   .4 25.0 99.0  20.25   8.47    .00
  20.39   6.62  20.09   7.52  -2.60   .8089   .2655   .0157   .8501  -.0478  -.0926   .0077  -.0123   .4 25.0 99.0  20.25   7.06    .00
  20.34   5.30  20.15   6.02  -2.08   .8119   .2615   .0155   .8514  -.0474  -.0696   .0035  -.0077   .4 25.0 99.0  20.25   5.65    .00
  20.30   3.97  20.19   4.51  -1.56   .8141   .2588   .0151   .8524  -.0468  -.0454  -.0008  -.0029   .4 25.0 99.0  20.25   4.24    .00
  20.27   2.65  20.22   3.01  -1.04   .8154   .2575   .0147   .8532  -.0461  -.0204  -.0050   .0019   .4 25.0 99.0  20.25   2.82    .00
  20.26   1.32  20.24   1.50   -.52   .8163   .2579   .0143   .8542  -.0454   .0050  -.0093   .0067   .4 25.0 99.0  20.25   1.41    .00
  20.25    .00  20.25    .00    .00   .8166   .2599   .0138   .8552  -.0448   .0303  -.0137   .0115   .4 25.0 99.0  20.25    .00    .00
  20.26  -1.32  20.24  -1.50    .52   .8160   .2635   .0132   .8559  -.0440   .0557  -.0179   .0163   .4 25.0 99.0  20.25  -1.41    .00
  20.27  -2.65  20.22  -3.01   1.04   .8144   .2687   .0126   .8563  -.0431   .0815  -.0221   .0209   .4 25.0 99.0  20.25  -2.82    .00
  20.30  -3.97  20.19  -4.51   1.56   .8121   .2754   .0120   .8568  -.0423   .1075  -.0260   .0254   .4 25.0 99.0  20.25  -4.24    .00
  20.34  -5.30  20.15  -6.02   2.08   .8094   .2837   .0114   .8573  -.0416   .1332  -.0296   .0298   .4 25.0 99.0  20.25  -5.65    .00
  20.39  -6.62  20.09  -7.52   2.60   .8062   .2930   .0108   .8577  -.0408   .1578  -.0332   .0339   .4 25.0 99.0  20.25  -7.06    .00
  20.45  -7.94  20.02  -9.02   3.11   .8023   .3033   .0101   .8579  -.0397   .1811  -.0364   .0379   .4 25.0 99.0  20.25  -8.47    .00
  20.53  -9.27  19.94 -10.52   3.62   .7979   .3142   .0095   .8579  -.0387   .2028  -.0395   .0416   .4 25.0 99.0  20.25  -9.88    .00
  20.62 -10.59  19.84 -12.02   4.13   .7938   .3254   .0089   .8581  -.0378   .2233  -.0423   .0450   .4 25.0 99.0  20.25 -11.29    .00
  20.72 -11.91  19.73 -13.51   4.64   .7895   .3365   .0084   .8582  -.0371   .2425  -.0446   .0481   .4 25.0 99.0  20.25 -12.71    .00
  20.83 -13.23  19.61 -15.01   5.14   .7850   .3472   .0080   .8580  -.0363   .2602  -.0466   .0509   .4 25.0 99.0  20.25 -14.12    .00
  20.95 -14.55  19.48 -16.50   5.64   .7805   .3573   .0075   .8575  -.0355   .2760  -.0483   .0534   .4 25.0 99.0  20.25 -15.53    .00
  21.09 -15.87  19.34 -17.99   6.14   .7764   .3662   .0072   .8570  -.0348   .2890  -.0496   .0555   .4 25.0 99.0  20.25 -16.94    .00
  21.24 -17.18  19.18 -19.47   6.63   .7731   .3734   .0070   .8565  -.0344   .2996  -.0508   .0572   .4 25.0 99.0  20.25 -18.35    .00
  21.41 -18.50  19.01 -20.96   7.11   .7700   .3790   .0068   .8557  -.0339   .3082  -.0515   .0586   .4 25.0 99.0  20.25 -19.76    .00
  21.59 -19.81  18.83 -22.44   7.59   .7678   .3831   .0067   .8550  -.0334   .3154  -.0520   .0595   .4 25.0 99.0  20.25 -21.18    .00
  21.78 -21.12  18.64 -23.91   8.07   .7664   .3849   .0067   .8544  -.0331   .3202  -.0520   .0601   .4 25.0 99.0  20.25 -22.59    .00
  21.99 -22.43  18.43 -25.39   8.53   .7659   .3846   .0068   .8537  -.0328   .3226  -.0517   .0602   .4 25.0 99.0  20.25 -24.00    .00
  21.99 -22.43  18.43 -25.39   8.53   .7669   .3892   .0062   .8572  -.0323   .3222  -.0504   .0603   .4 25.0 99.0  20.25 -24.00    .00
