          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  21.09  15.87  19.34  17.99  -6.14   .7872   .3211   .0172   .8501  -.0418  -.2072   .0330  -.0410   .3 25.0 99.0  20.25  16.94    .00
  20.95  14.55  19.48  16.50  -5.64   .7911   .3141   .0174   .8511  -.0414  -.1940   .0303  -.0380   .3 25.0 99.0  20.25  15.53    .00
  20.83  13.23  19.61  15.01  -5.14   .7953   .3067   .0177   .8524  -.0413  -.1794   .0274  -.0347   .3 25.0 99.0  20.25  14.12    .00
  20.72  11.91  19.73  13.51  -4.64   .8000   .2995   .0179   .8541  -.0411  -.1629   .0242  -.0310   .3 25.0 99.0  20.25  12.71    .00
  20.62  10.59  19.84  12.02  -4.13   .8041   .2924   .0179   .8553  -.0407  -.1447   .0209  -.0270   .3 25.0 99.0  20.25  11.29    .00
  20.53   9.27  19.94  10.52  -3.62   .8087   .2860   .0180   .8571  -.0404  -.1255   .0173  -.0228   .3 25.0 99.0  20.25   9.88    .00
  20.45   7.94  20.02   9.02  -3.11   .8129   .2802   .0180   .8589  -.0403  -.1050   .0133  -.0183   .3 25.0 99.0  20.25   8.47    .00
  20.39   6.62  20.09   7.52  -2.60   .8163   .2752   .0178   .8602  -.0400  -.0830   .0093  -.0136   .3 25.0 99.0  20.25   7.06    .00
  20.34   5.30  20.15   6.02  -2.08   .8196   .2715   .0177   .8619  -.0395  -.0595   .0051  -.0088   .3 25.0 99.0  20.25   5.65    .00
  20.30   3.97  20.19   4.51  -1.56   .8222   .2690   .0174   .8634  -.0390  -.0352   .0009  -.0039   .3 25.0 99.0  20.25   4.24    .00
  20.27   2.65  20.22   3.01  -1.04   .8238   .2679   .0171   .8645  -.0386  -.0105  -.0035   .0010   .3 25.0 99.0  20.25   2.82    .00
  20.26   1.32  20.24   1.50   -.52   .8250   .2688   .0167   .8660  -.0378   .0144  -.0080   .0059   .3 25.0 99.0  20.25   1.41    .00
  20.25    .00  20.25    .00    .00   .8253   .2711   .0163   .8671  -.0371   .0400  -.0125   .0108   .3 25.0 99.0  20.25    .00    .00
  20.26  -1.32  20.24  -1.50    .52   .8246   .2749   .0157   .8678  -.0365   .0664  -.0170   .0156   .3 25.0 99.0  20.25  -1.41    .00
  20.27  -2.65  20.22  -3.01   1.04   .8232   .2807   .0152   .8687  -.0354   .0927  -.0214   .0203   .3 25.0 99.0  20.25  -2.82    .00
  20.30  -3.97  20.19  -4.51   1.56   .8210   .2879   .0146   .8693  -.0344   .1183  -.0259   .0249   .3 25.0 99.0  20.25  -4.24    .00
