          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  20.26  -1.32  20.24  -1.50    .52   .8222   .2651   .0127   .8623  -.0456   .0193   .0074   .0021   .7 25.0 99.0  20.25  -1.41    .00
  20.25    .00  20.25    .00    .00   .8229   .2646   .0127   .8628  -.0465  -.0107   .0124  -.0030   .7 25.0 99.0  20.25    .00    .00
  20.26   1.32  20.24   1.50   -.52   .8229   .2664   .0127   .8634  -.0469  -.0406   .0172  -.0081   .7 25.0 99.0  20.25   1.41    .00
  20.27   2.65  20.22   3.01  -1.04   .8220   .2703   .0127   .8640  -.0468  -.0695   .0214  -.0131   .7 25.0 99.0  20.25   2.82    .00
  20.30   3.97  20.19   4.51  -1.56   .8200   .2759   .0125   .8642  -.0463  -.0970   .0252  -.0178   .7 25.0 99.0  20.25   4.24    .00
  20.34   5.30  20.15   6.02  -2.08   .8165   .2827   .0122   .8634  -.0457  -.1232   .0288  -.0224   .7 25.0 99.0  20.25   5.65    .00
  20.39   6.62  20.09   7.52  -2.60   .8118   .2899   .0119   .8617  -.0454  -.1476   .0326  -.0268   .7 25.0 99.0  20.25   7.06    .00
  20.45   7.94  20.02   9.02  -3.11   .8065   .2976   .0116   .8596  -.0454  -.1698   .0362  -.0308   .7 25.0 99.0  20.25   8.47    .00
  20.53   9.27  19.94  10.52  -3.62   .8012   .3058   .0113   .8577  -.0453  -.1895   .0391  -.0345   .7 25.0 99.0  20.25   9.88    .00
  20.62  10.59  19.84  12.02  -4.13   .7960   .3145   .0112   .8560  -.0451  -.2068   .0414  -.0379   .7 25.0 99.0  20.25  11.29    .00
  20.72  11.91  19.73  13.51  -4.64   .7907   .3231   .0113   .8543  -.0447  -.2222   .0436  -.0408   .7 25.0 99.0  20.25  12.71    .00
  20.83  13.23  19.61  15.01  -5.14   .7853   .3313   .0113   .8522  -.0443  -.2357   .0457  -.0434   .7 25.0 99.0  20.25  14.12    .00
  20.95  14.55  19.48  16.50  -5.64   .7796   .3383   .0113   .8495  -.0440  -.2467   .0472  -.0455   .7 25.0 99.0  20.25  15.53    .00
  21.09  15.87  19.34  17.99  -6.14   .7742   .3439   .0113   .8465  -.0438  -.2545   .0480  -.0472   .7 25.0 99.0  20.25  16.94    .00
  21.24  17.18  19.18  19.47  -6.63   .7695   .3482   .0115   .8437  -.0435  -.2597   .0484  -.0484   .7 25.0 99.0  20.25  18.35    .00
  21.41  18.50  19.01  20.96  -7.11   .7661   .3511   .0118   .8416  -.0431  -.2621   .0489  -.0492   .7 25.0 99.0  20.25  19.76    .00
  21.59  19.81  18.83  22.44  -7.59   .7641   .3519   .0123   .8400  -.0428  -.2615   .0487  -.0494   .7 25.0 99.0  20.25  21.18    .00
  21.78  21.12  18.64  23.91  -8.07   .7626   .3504   .0127   .8381  -.0427  -.2585   .0480  -.0491   .7 25.0 99.0  20.25  22.59    .00
  21.99  22.43  18.43  25.39  -8.53   .7622   .3469   .0131   .8364  -.0426  -.2540   .0467  -.0484   .7 25.0 99.0  20.25  24.00    .00
  21.78  21.12  18.64  23.91  -8.07   .7635   .3418   .0136   .8357  -.0426  -.2479   .0450  -.0472   .7 25.0 99.0  20.25  22.59    .00
  21.59  19.81  18.83  22.44  -7.59   .7652   .3360   .0141   .8352  -.0427  -.2403   .0432  -.0456   .7 25.0 99.0  20.25  21.18    .00
  21.41  18.50  19.01  20.96  -7.11   .7676   .3300   .0145   .8353  -.0423  -.2314   .0407  -.0436   .7 25.0 99.0  20.25  19.76    .00
  21.24  17.18  19.18  19.47  -6.63   .7706   .3231   .0149   .8354  -.0421  -.2198   .0380  -.0412   .7 25.0 99.0  20.25  18.35    .00
  21.09  15.87  19.34  17.99  -6.14   .7743   .3152   .0153   .8360  -.0423  -.2058   .0351  -.0383   .7 25.0 99.0  20.25  16.94    .00
  20.95  14.55  19.48  16.50  -5.64   .7787   .3075   .0156   .8372  -.0422  -.1900   .0317  -.0351   .7 25.0 99.0  20.25  15.53    .00
  20.83  13.23  19.61  15.01  -5.14   .7833   .3003   .0159   .8388  -.0416  -.1733   .0279  -.0315   .7 25.0 99.0  20.25  14.12    .00
  20.72  11.91  19.73  13.51  -4.64   .7877   .2935   .0160   .8405  -.0409  -.1560   .0237  -.0276   .7 25.0 99.0  20.25  12.71    .00
  20.62  10.59  19.84  12.02  -4.13   .7922   .2871   .0160   .8423  -.0403  -.1383   .0193  -.0235   .7 25.0 99.0  20.25  11.29    .00
  20.53   9.27  19.94  10.52  -3.62   .7969   .2809   .0159   .8443  -.0402  -.1196   .0147  -.0191   .7 25.0 99.0  20.25   9.88    .00
  20.45   7.94  20.02   9.02  -3.11   .8018   .2752   .0158   .8468  -.0404  -.0992   .0097  -.0145   .7 25.0 99.0  20.25   8.47    .00
  20.39   6.62  20.09   7.52  -2.60   .8068   .2704   .0157   .8497  -.0405  -.0770   .0045  -.0097   .7 25.0 99.0  20.25   7.06    .00
  20.34   5.30  20.15   6.02  -2.08   .8114   .2671   .0155   .8528  -.0403  -.0530  -.0005  -.0048   .7 25.0 99.0  20.25   5.65    .00
  20.30   3.97  20.19   4.51  -1.56   .8150   .2653   .0152   .8555  -.0398  -.0273  -.0052   .0001   .7 25.0 99.0  20.25   4.24    .00
  20.27   2.65  20.22   3.01  -1.04   .8175   .2649   .0147   .8577  -.0392  -.0003  -.0099   .0051   .7 25.0 99.0  20.25   2.82    .00
  20.26   1.32  20.24   1.50   -.52   .8188   .2660   .0140   .8593  -.0385   .0276  -.0150   .0101   .7 25.0 99.0  20.25   1.41    .00
  20.25    .00  20.25    .00    .00   .8193   .2685   .0133   .8607  -.0379   .0558  -.0203   .0150   .7 25.0 99.0  20.25    .00    .00
  20.26  -1.32  20.24  -1.50    .52   .8192   .2727   .0125   .8621  -.0375   .0834  -.0256   .0198   .7 25.0 99.0  20.25  -1.41    .00
  20.27  -2.65  20.22  -3.01   1.04   .8188   .2787   .0119   .8640  -.0369   .1096  -.0307   .0245   .7 25.0 99.0  20.25  -2.82    .00
  20.30  -3.97  20.19  -4.51   1.56   .8178   .2863   .0113   .8659  -.0363   .1345  -.0354   .0290   .7 25.0 99.0  20.25  -4.24    .00
  20.34  -5.30  20.15  -6.02   2.08   .8159   .2951   .0107   .8674  -.0360   .1589  -.0402   .0333   .7 25.0 99.0  20.25  -5.65    .00
  20.39  -6.62  20.09  -7.52   2.60   .8129   .3043   .0099   .8681  -.0358   .1827  -.0452   .0374   .7 25.0 99.0  20.25  -7.06    .00
  20.45  -7.94  20.02  -9.02   3.11   .8088   .3141   .0090   .8679  -.0358   .2059  -.0499   .0412   .7 25.0 99.0  20.25  -8.47    .00
  20.53  -9.27  19.94 -10.52   3.62   .8038   .3243   .0082   .8671  -.0357   .2281  -.0538   .0448   .7 25.0 99.0  20.25  -9.88    .00
  20.62 -10.59  19.84 -12.02   4.13   .7987   .3351   .0074   .8663  -.0355   .2490  -.0569   .0481   .7 25.0 99.0  20.25 -11.29    .00
  20.72 -11.91  19.73 -13.51   4.64   .7936   .3461   .0069   .8656  -.0351   .2689  -.0596   .0510   .7 25.0 99.0  20.25 -12.71    .00
  20.83 -13.23  19.61 -15.01   5.14   .7888   .3570   .0064   .8651  -.0348   .2874  -.0625   .0537   .7 25.0 99.0  20.25 -14.12    .00
  20.95 -14.55  19.48 -16.50   5.64   .7838   .3667   .0060   .8641  -.0346   .3036  -.0649   .0559   .7 25.0 99.0  20.25 -15.53    .00
  21.09 -15.87  19.34 -17.99   6.14   .7786   .3746   .0056   .8622  -.0346   .3166  -.0664   .0578   .7 25.0 99.0  20.25 -16.94    .00
  21.24 -17.18  19.18 -19.47   6.63   .7738   .3806   .0054   .8599  -.0349   .3264  -.0672   .0593   .7 25.0 99.0  20.25 -18.35    .00
  21.41 -18.50  19.01 -20.96   7.11   .7700   .3853   .0052   .8580  -.0350   .3341  -.0678   .0604   .7 25.0 99.0  20.25 -19.76    .00
  21.59 -19.81  18.83 -22.44   7.59   .7673   .3887   .0052   .8568  -.0347   .3397  -.0680   .0612   .7 25.0 99.0  20.25 -21.18    .00
  21.78 -21.12  18.64 -23.91   8.07   .7655   .3900   .0054   .8555  -.0344   .3428  -.0671   .0615   .7 25.0 99.0  20.25 -22.59    .00
  21.99 -22.43  18.43 -25.39   8.53   .7643   .3886   .0055   .8539  -.0348   .3446  -.0659   .0615   .7 25.0 99.0  20.25 -24.00    .00
  21.99 -22.43  18.43 -25.39   8.53   .7646   .3925   .0049   .8563  -.0342   .3415  -.0636   .0609   .7 25.0 99.0  20.25 -24.00    .00
