          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  21.99 -22.43  18.43 -25.39   8.53   .7646   .3925   .0049   .8563  -.0342   .3415  -.0636   .0609   .7 25.0 99.0  20.25 -24.00    .00
  21.78 -21.12  18.64 -23.91   8.07   .7654   .3858   .0054   .8545  -.0345   .3347  -.0612   .0596   .7 25.0 99.0  20.25 -22.59    .00
  21.59 -19.81  18.83 -22.44   7.59   .7671   .3779   .0059   .8532  -.0351   .3260  -.0589   .0580   .7 25.0 99.0  20.25 -21.18    .00
  21.41 -18.50  19.01 -20.96   7.11   .7699   .3696   .0066   .8526  -.0355   .3153  -.0558   .0561   .7 25.0 99.0  20.25 -19.76    .00
  21.24 -17.18  19.18 -19.47   6.63   .7730   .3598   .0073   .8519  -.0366   .3026  -.0524   .0537   .7 25.0 99.0  20.25 -18.35    .00
  21.09 -15.87  19.34 -17.99   6.14   .7767   .3495   .0079   .8514  -.0376   .2880  -.0487   .0509   .7 25.0 99.0  20.25 -16.94    .00
  20.95 -14.55  19.48 -16.50   5.64   .7809   .3392   .0086   .8515  -.0381   .2711  -.0444   .0478   .7 25.0 99.0  20.25 -15.53    .00
  20.83 -13.23  19.61 -15.01   5.14   .7855   .3287   .0093   .8519  -.0387   .2519  -.0394   .0443   .7 25.0 99.0  20.25 -14.12    .00
  20.72 -11.91  19.73 -13.51   4.64   .7905   .3179   .0100   .8525  -.0398   .2308  -.0344   .0404   .7 25.0 99.0  20.25 -12.71    .00
  20.62 -10.59  19.84 -12.02   4.13   .7959   .3073   .0106   .8536  -.0410   .2085  -.0294   .0363   .7 25.0 99.0  20.25 -11.29    .00
  20.53  -9.27  19.94 -10.52   3.62   .8011   .2975   .0111   .8548  -.0422   .1848  -.0244   .0319   .7 25.0 99.0  20.25  -9.88    .00
  20.45  -7.94  20.02  -9.02   3.11   .8061   .2888   .0116   .8562  -.0429   .1594  -.0188   .0273   .7 25.0 99.0  20.25  -8.47    .00
  20.39  -6.62  20.09  -7.52   2.60   .8106   .2815   .0121   .8576  -.0433   .1330  -.0132   .0224   .7 25.0 99.0  20.25  -7.06    .00
  20.34  -5.30  20.15  -6.02   2.08   .8147   .2756   .0124   .8592  -.0433   .1054  -.0078   .0175   .7 25.0 99.0  20.25  -5.65    .00
  20.30  -3.97  20.19  -4.51   1.56   .8180   .2708   .0126   .8605  -.0438   .0773  -.0026   .0124   .7 25.0 99.0  20.25  -4.24    .00
  20.27  -2.65  20.22  -3.01   1.04   .8205   .2675   .0127   .8616  -.0446   .0487   .0024   .0073   .7 25.0 99.0  20.25  -2.82    .00
