          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  21.24  17.18  19.18  19.47  -6.63   .7871   .3523   .0138   .8614  -.0456  -.2552   .0486  -.0488   .5 25.0 99.0  20.25  18.35    .00
  21.41  18.50  19.01  20.96  -7.11   .7841   .3551   .0141   .8597  -.0454  -.2579   .0488  -.0498   .5 25.0 99.0  20.25  19.76    .00
  21.59  19.81  18.83  22.44  -7.59   .7819   .3564   .0143   .8582  -.0450  -.2588   .0483  -.0502   .5 25.0 99.0  20.25  21.18    .00
  21.78  21.12  18.64  23.91  -8.07   .7809   .3555   .0146   .8569  -.0449  -.2572   .0473  -.0502   .5 25.0 99.0  20.25  22.59    .00
  21.99  22.43  18.43  25.39  -8.53   .7808   .3524   .0150   .8557  -.0446  -.2526   .0460  -.0496   .5 25.0 99.0  20.25  24.00    .00
  21.78  21.12  18.64  23.91  -8.07   .7818   .3473   .0154   .8548  -.0443  -.2464   .0443  -.0486   .5 25.0 99.0  20.25  22.59    .00
  21.59  19.81  18.83  22.44  -7.59   .7835   .3418   .0158   .8543  -.0440  -.2389   .0422  -.0471   .5 25.0 99.0  20.25  21.18    .00
  21.41  18.50  19.01  20.96  -7.11   .7859   .3356   .0163   .8543  -.0436  -.2292   .0400  -.0452   .5 25.0 99.0  20.25  19.76    .00
  21.24  17.18  19.18  19.47  -6.63   .7888   .3287   .0166   .8544  -.0432  -.2175   .0374  -.0428   .5 25.0 99.0  20.25  18.35    .00
  21.09  15.87  19.34  17.99  -6.14   .7922   .3217   .0170   .8549  -.0427  -.2053   .0345  -.0400   .5 25.0 99.0  20.25  16.94    .00
  20.95  14.55  19.48  16.50  -5.64   .7959   .3145   .0173   .8558  -.0425  -.1927   .0311  -.0369   .5 25.0 99.0  20.25  15.53    .00
  20.83  13.23  19.61  15.01  -5.14   .7996   .3071   .0175   .8565  -.0424  -.1788   .0276  -.0334   .5 25.0 99.0  20.25  14.12    .00
  20.72  11.91  19.73  13.51  -4.64   .8035   .2997   .0177   .8574  -.0422  -.1626   .0237  -.0296   .5 25.0 99.0  20.25  12.71    .00
  20.62  10.59  19.84  12.02  -4.13   .8076   .2925   .0178   .8586  -.0419  -.1436   .0199  -.0254   .5 25.0 99.0  20.25  11.29    .00
  20.53   9.27  19.94  10.52  -3.62   .8116   .2856   .0178   .8598  -.0415  -.1223   .0160  -.0210   .5 25.0 99.0  20.25   9.88    .00
  20.45   7.94  20.02   9.02  -3.11   .8156   .2796   .0178   .8612  -.0411  -.0997   .0117  -.0164   .5 25.0 99.0  20.25   8.47    .00
  20.39   6.62  20.09   7.52  -2.60   .8192   .2747   .0176   .8627  -.0406  -.0772   .0072  -.0117   .5 25.0 99.0  20.25   7.06    .00
  20.34   5.30  20.15   6.02  -2.08   .8223   .2712   .0174   .8644  -.0401  -.0549   .0024  -.0068   .5 25.0 99.0  20.25   5.65    .00
  20.30   3.97  20.19   4.51  -1.56   .8250   .2689   .0171   .8661  -.0397  -.0323  -.0026  -.0019   .5 25.0 99.0  20.25   4.24    .00
  20.27   2.65  20.22   3.01  -1.04   .8271   .2679   .0167   .8676  -.0395  -.0086  -.0076   .0031   .5 25.0 99.0  20.25   2.82    .00
  20.26   1.32  20.24   1.50   -.52   .8283   .2684   .0163   .8689  -.0392   .0166  -.0123   .0081   .5 25.0 99.0  20.25   1.41    .00
  20.25    .00  20.25    .00    .00   .8286   .2706   .0158   .8700  -.0387   .0434  -.0168   .0130   .5 25.0 99.0  20.25    .00    .00
  20.26  -1.32  20.24  -1.50    .52   .8278   .2745   .0153   .8708  -.0381   .0711  -.0211   .0178   .5 25.0 99.0  20.25  -1.41    .00
  20.27  -2.65  20.22  -3.01   1.04   .8262   .2801   .0147   .8714  -.0373   .0988  -.0252   .0225   .5 25.0 99.0  20.25  -2.82    .00
  20.30  -3.97  20.19  -4.51   1.56   .8239   .2872   .0140   .8719  -.0367   .1255  -.0292   .0271   .5 25.0 99.0  20.25  -4.24    .00
  20.34  -5.30  20.15  -6.02   2.08   .8209   .2959   .0134   .8723  -.0361   .1511  -.0333   .0314   .5 25.0 99.0  20.25  -5.65    .00
  20.39  -6.62  20.09  -7.52   2.60   .8178   .3054   .0128   .8730  -.0356   .1749  -.0372   .0356   .5 25.0 99.0  20.25  -7.06    .00
  20.45  -7.94  20.02  -9.02   3.11   .8143   .3158   .0122   .8736  -.0349   .1975  -.0408   .0395   .5 25.0 99.0  20.25  -8.47    .00
  20.53  -9.27  19.94 -10.52   3.62   .8101   .3270   .0115   .8738  -.0342   .2194  -.0440   .0432   .5 25.0 99.0  20.25  -9.88    .00
  20.62 -10.59  19.84 -12.02   4.13   .8052   .3383   .0109   .8735  -.0335   .2409  -.0470   .0466   .5 25.0 99.0  20.25 -11.29    .00
  20.72 -11.91  19.73 -13.51   4.64   .8002   .3496   .0104   .8730  -.0330   .2614  -.0494   .0496   .5 25.0 99.0  20.25 -12.71    .00
  20.83 -13.23  19.61 -15.01   5.14   .7955   .3606   .0099   .8727  -.0326   .2803  -.0515   .0524   .5 25.0 99.0  20.25 -14.12    .00
  20.95 -14.55  19.48 -16.50   5.64   .7909   .3708   .0096   .8722  -.0321   .2966  -.0534   .0548   .5 25.0 99.0  20.25 -15.53    .00
  21.09 -15.87  19.34 -17.99   6.14   .7865   .3798   .0093   .8714  -.0314   .3098  -.0551   .0568   .5 25.0 99.0  20.25 -16.94    .00
  21.24 -17.18  19.18 -19.47   6.63   .7823   .3870   .0090   .8702  -.0308   .3202  -.0564   .0585   .5 25.0 99.0  20.25 -18.35    .00
  21.41 -18.50  19.01 -20.96   7.11   .7790   .3924   .0089   .8691  -.0306   .3287  -.0573   .0598   .5 25.0 99.0  20.25 -19.76    .00
  21.59 -19.81  18.83 -22.44   7.59   .7766   .3961   .0089   .8682  -.0304   .3357  -.0575   .0608   .5 25.0 99.0  20.25 -21.18    .00
  21.78 -21.12  18.64 -23.91   8.07   .7746   .3978   .0089   .8669  -.0301   .3408  -.0575   .0613   .5 25.0 99.0  20.25 -22.59    .00
  21.99 -22.43  18.43 -25.39   8.53   .7736   .3971   .0090   .8657  -.0299   .3430  -.0570   .0615   .5 25.0 99.0  20.25 -24.00    .00
  21.99 -22.43  18.43 -25.39   8.53   .7747   .4015   .0085   .8691  -.0295   .3412  -.0555   .0612   .5 25.0 99.0  20.25 -24.00    .00
