          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  21.99 -22.43  18.43 -25.39   8.53   .7747   .4015   .0085   .8691  -.0295   .3412  -.0555   .0612   .5 25.0 99.0  20.25 -24.00    .00
  21.78 -21.12  18.64 -23.91   8.07   .7761   .3954   .0089   .8681  -.0295   .3355  -.0541   .0602   .5 25.0 99.0  20.25 -22.59    .00
  21.59 -19.81  18.83 -22.44   7.59   .7783   .3885   .0095   .8675  -.0296   .3283  -.0525   .0589   .5 25.0 99.0  20.25 -21.18    .00
  21.41 -18.50  19.01 -20.96   7.11   .7809   .3801   .0099   .8667  -.0300   .3185  -.0505   .0571   .5 25.0 99.0  20.25 -19.76    .00
  21.24 -17.18  19.18 -19.47   6.63   .7846   .3709   .0105   .8667  -.0307   .3065  -.0483   .0550   .5 25.0 99.0  20.25 -18.35    .00
  21.09 -15.87  19.34 -17.99   6.14   .7884   .3611   .0111   .8666  -.0312   .2929  -.0455   .0524   .5 25.0 99.0  20.25 -16.94    .00
  20.95 -14.55  19.48 -16.50   5.64   .7919   .3512   .0115   .8661  -.0315   .2784  -.0424   .0495   .5 25.0 99.0  20.25 -15.53    .00
  20.83 -13.23  19.61 -15.01   5.14   .7960   .3410   .0120   .8661  -.0321   .2620  -.0390   .0462   .5 25.0 99.0  20.25 -14.12    .00
  20.72 -11.91  19.73 -13.51   4.64   .8010   .3304   .0126   .8669  -.0331   .2428  -.0353   .0426   .5 25.0 99.0  20.25 -12.71    .00
  20.62 -10.59  19.84 -12.02   4.13   .8064   .3198   .0131   .8679  -.0343   .2208  -.0318   .0387   .5 25.0 99.0  20.25 -11.29    .00
  20.53  -9.27  19.94 -10.52   3.62   .8112   .3096   .0136   .8686  -.0353   .1963  -.0279   .0345   .5 25.0 99.0  20.25  -9.88    .00
  20.45  -7.94  20.02  -9.02   3.11   .8154   .3004   .0138   .8690  -.0360   .1701  -.0238   .0300   .5 25.0 99.0  20.25  -8.47    .00
  20.39  -6.62  20.09  -7.52   2.60   .8196   .2924   .0141   .8700  -.0367   .1435  -.0195   .0254   .5 25.0 99.0  20.25  -7.06    .00
  20.34  -5.30  20.15  -6.02   2.08   .8238   .2855   .0145   .8713  -.0376   .1168  -.0148   .0205   .5 25.0 99.0  20.25  -5.65    .00
  20.30  -3.97  20.19  -4.51   1.56   .8273   .2798   .0148   .8724  -.0388   .0896  -.0097   .0155   .5 25.0 99.0  20.25  -4.24    .00
  20.27  -2.65  20.22  -3.01   1.04   .8295   .2759   .0149   .8730  -.0400   .0614  -.0046   .0104   .5 25.0 99.0  20.25  -2.82    .00
  20.26  -1.32  20.24  -1.50    .52   .8307   .2733   .0148   .8732  -.0411   .0320   .0003   .0052   .5 25.0 99.0  20.25  -1.41    .00
  20.25    .00  20.25    .00    .00   .8312   .2724   .0148   .8733  -.0421   .0014   .0052   .0000   .5 25.0 99.0  20.25    .00    .00
  20.26   1.32  20.24   1.50   -.52   .8311   .2733   .0147   .8736  -.0430  -.0295   .0102  -.0052   .5 25.0 99.0  20.25   1.41    .00
  20.27   2.65  20.22   3.01  -1.04   .8303   .2762   .0147   .8738  -.0438  -.0598   .0149  -.0103   .5 25.0 99.0  20.25   2.82    .00
  20.30   3.97  20.19   4.51  -1.56   .8284   .2808   .0145   .8737  -.0444  -.0884   .0195  -.0153   .5 25.0 99.0  20.25   4.24    .00
  20.34   5.30  20.15   6.02  -2.08   .8255   .2866   .0143   .8731  -.0449  -.1147   .0243  -.0201   .5 25.0 99.0  20.25   5.65    .00
  20.39   6.62  20.09   7.52  -2.60   .8218   .2934   .0141   .8721  -.0452  -.1387   .0289  -.0247   .5 25.0 99.0  20.25   7.06    .00
  20.45   7.94  20.02   9.02  -3.11   .8178   .3011   .0139   .8713  -.0455  -.1604   .0330  -.0290   .5 25.0 99.0  20.25   8.47    .00
  20.53   9.27  19.94  10.52  -3.62   .8138   .3093   .0138   .8706  -.0459  -.1809   .0367  -.0330   .5 25.0 99.0  20.25   9.88    .00
  20.62  10.59  19.84  12.02  -4.13   .8094   .3178   .0138   .8696  -.0464  -.2002   .0400  -.0367   .5 25.0 99.0  20.25  11.29    .00
  20.72  11.91  19.73  13.51  -4.64   .8044   .3263   .0137   .8681  -.0465  -.2175   .0426  -.0400   .5 25.0 99.0  20.25  12.71    .00
  20.83  13.23  19.61  15.01  -5.14   .7993   .3346   .0136   .8664  -.0463  -.2320   .0446  -.0429   .5 25.0 99.0  20.25  14.12    .00
  20.95  14.55  19.48  16.50  -5.64   .7946   .3421   .0136   .8648  -.0458  -.2432   .0464  -.0454   .5 25.0 99.0  20.25  15.53    .00
  21.09  15.87  19.34  17.99  -6.14   .7905   .3481   .0137   .8631  -.0457  -.2507   .0477  -.0473   .5 25.0 99.0  20.25  16.94    .00
