          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  21.99 -22.43  18.43 -25.39   8.53   .7566   .3950   .0088   .8498  -.0248   .3292  -.0566   .0597   .6 25.0 99.0  20.25 -24.00    .00
  21.78 -21.12  18.64 -23.91   8.07   .7582   .3887   .0092   .8489  -.0253   .3235  -.0547   .0587   .6 25.0 99.0  20.25 -22.59    .00
  21.59 -19.81  18.83 -22.44   7.59   .7604   .3813   .0097   .8482  -.0257   .3156  -.0522   .0572   .6 25.0 99.0  20.25 -21.18    .00
  21.41 -18.50  19.01 -20.96   7.11   .7633   .3728   .0102   .8476  -.0265   .3057  -.0495   .0554   .6 25.0 99.0  20.25 -19.76    .00
  21.24 -17.18  19.18 -19.47   6.63   .7664   .3631   .0106   .8469  -.0275   .2935  -.0461   .0531   .6 25.0 99.0  20.25 -18.35    .00
  21.09 -15.87  19.34 -17.99   6.14   .7700   .3528   .0111   .8465  -.0287   .2797  -.0426   .0504   .6 25.0 99.0  20.25 -16.94    .00
  20.95 -14.55  19.48 -16.50   5.64   .7743   .3421   .0116   .8464  -.0301   .2642  -.0389   .0474   .6 25.0 99.0  20.25 -15.53    .00
  20.83 -13.23  19.61 -15.01   5.14   .7789   .3308   .0121   .8466  -.0317   .2467  -.0345   .0440   .6 25.0 99.0  20.25 -14.12    .00
  20.72 -11.91  19.73 -13.51   4.64   .7837   .3197   .0125   .8468  -.0334   .2277  -.0300   .0403   .6 25.0 99.0  20.25 -12.71    .00
  20.62 -10.59  19.84 -12.02   4.13   .7884   .3091   .0129   .8473  -.0349   .2071  -.0257   .0363   .6 25.0 99.0  20.25 -11.29    .00
  20.53  -9.27  19.94 -10.52   3.62   .7931   .2991   .0131   .8479  -.0362   .1843  -.0214   .0321   .6 25.0 99.0  20.25  -9.88    .00
  20.45  -7.94  20.02  -9.02   3.11   .7976   .2896   .0134   .8487  -.0377   .1592  -.0167   .0276   .6 25.0 99.0  20.25  -8.47    .00
  20.39  -6.62  20.09  -7.52   2.60   .8020   .2810   .0136   .8495  -.0394   .1325  -.0123   .0229   .6 25.0 99.0  20.25  -7.06    .00
  20.34  -5.30  20.15  -6.02   2.08   .8060   .2735   .0138   .8504  -.0412   .1046  -.0081   .0181   .6 25.0 99.0  20.25  -5.65    .00
  20.30  -3.97  20.19  -4.51   1.56   .8092   .2675   .0139   .8512  -.0430   .0758  -.0037   .0131   .6 25.0 99.0  20.25  -4.24    .00
  20.27  -2.65  20.22  -3.01   1.04   .8115   .2634   .0139   .8518  -.0445   .0464   .0009   .0081   .6 25.0 99.0  20.25  -2.82    .00
  20.26  -1.32  20.24  -1.50    .52   .8130   .2610   .0139   .8523  -.0459   .0172   .0054   .0030   .6 25.0 99.0  20.25  -1.41    .00
  20.25    .00  20.25    .00    .00   .8135   .2603   .0138   .8525  -.0471  -.0116   .0098  -.0021   .6 25.0 99.0  20.25    .00    .00
  20.26   1.32  20.24   1.50   -.52   .8133   .2614   .0136   .8527  -.0482  -.0402   .0140  -.0071   .6 25.0 99.0  20.25   1.41    .00
  20.27   2.65  20.22   3.01  -1.04   .8121   .2642   .0135   .8526  -.0492  -.0687   .0183  -.0120   .6 25.0 99.0  20.25   2.82    .00
  20.30   3.97  20.19   4.51  -1.56   .8101   .2688   .0134   .8524  -.0502  -.0968   .0225  -.0168   .6 25.0 99.0  20.25   4.24    .00
  20.34   5.30  20.15   6.02  -2.08   .8073   .2746   .0133   .8520  -.0510  -.1241   .0261  -.0214   .6 25.0 99.0  20.25   5.65    .00
  20.39   6.62  20.09   7.52  -2.60   .8039   .2816   .0131   .8514  -.0517  -.1499   .0294  -.0258   .6 25.0 99.0  20.25   7.06    .00
  20.45   7.94  20.02   9.02  -3.11   .8000   .2896   .0130   .8507  -.0522  -.1738   .0325  -.0299   .6 25.0 99.0  20.25   8.47    .00
  20.53   9.27  19.94  10.52  -3.62   .7955   .2982   .0129   .8496  -.0524  -.1952   .0357  -.0337   .6 25.0 99.0  20.25   9.88    .00
  20.62  10.59  19.84  12.02  -4.13   .7905   .3070   .0128   .8482  -.0523  -.2135   .0385  -.0372   .6 25.0 99.0  20.25  11.29    .00
