          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  20.72  11.91  19.73  13.51  -4.64   .7854   .3158   .0128   .8466  -.0519  -.2289   .0409  -.0403   .6 25.0 99.0  20.25  12.71    .00
  20.83  13.23  19.61  15.01  -5.14   .7802   .3240   .0128   .8448  -.0515  -.2417   .0431  -.0430   .6 25.0 99.0  20.25  14.12    .00
  20.95  14.55  19.48  16.50  -5.64   .7754   .3314   .0129   .8430  -.0511  -.2522   .0451  -.0453   .6 25.0 99.0  20.25  15.53    .00
  21.09  15.87  19.34  17.99  -6.14   .7714   .3376   .0130   .8416  -.0508  -.2601   .0463  -.0471   .6 25.0 99.0  20.25  16.94    .00
  21.24  17.18  19.18  19.47  -6.63   .7682   .3425   .0132   .8404  -.0504  -.2654   .0470  -.0485   .6 25.0 99.0  20.25  18.35    .00
  21.41  18.50  19.01  20.96  -7.11   .7654   .3458   .0135   .8390  -.0499  -.2682   .0475  -.0494   .6 25.0 99.0  20.25  19.76    .00
  21.59  19.81  18.83  22.44  -7.59   .7635   .3473   .0138   .8377  -.0491  -.2678   .0476  -.0499   .6 25.0 99.0  20.25  21.18    .00
  21.78  21.12  18.64  23.91  -8.07   .7628   .3465   .0141   .8368  -.0483  -.2644   .0470  -.0498   .6 25.0 99.0  20.25  22.59    .00
  21.99  22.43  18.43  25.39  -8.53   .7634   .3437   .0145   .8363  -.0478  -.2593   .0461  -.0491   .6 25.0 99.0  20.25  24.00    .00
  21.78  21.12  18.64  23.91  -8.07   .7649   .3391   .0148   .8361  -.0471  -.2526   .0447  -.0480   .6 25.0 99.0  20.25  22.59    .00
  21.59  19.81  18.83  22.44  -7.59   .7673   .3335   .0152   .8362  -.0467  -.2440   .0426  -.0464   .6 25.0 99.0  20.25  21.18    .00
  21.41  18.50  19.01  20.96  -7.11   .7701   .3275   .0155   .8366  -.0463  -.2338   .0404  -.0444   .6 25.0 99.0  20.25  19.76    .00
  21.24  17.18  19.18  19.47  -6.63   .7733   .3208   .0157   .8371  -.0459  -.2217   .0373  -.0420   .6 25.0 99.0  20.25  18.35    .00
  21.09  15.87  19.34  17.99  -6.14   .7774   .3139   .0160   .8385  -.0455  -.2088   .0342  -.0391   .6 25.0 99.0  20.25  16.94    .00
  20.95  14.55  19.48  16.50  -5.64   .7820   .3070   .0162   .8402  -.0453  -.1950   .0307  -.0360   .6 25.0 99.0  20.25  15.53    .00
  20.83  13.23  19.61  15.01  -5.14   .7868   .2999   .0164   .8420  -.0450  -.1796   .0265  -.0324   .6 25.0 99.0  20.25  14.12    .00
  20.72  11.91  19.73  13.51  -4.64   .7914   .2926   .0163   .8436  -.0448  -.1627   .0221  -.0285   .6 25.0 99.0  20.25  12.71    .00
  20.62  10.59  19.84  12.02  -4.13   .7958   .2857   .0164   .8452  -.0446  -.1444   .0179  -.0244   .6 25.0 99.0  20.25  11.29    .00
  20.53   9.27  19.94  10.52  -3.62   .8005   .2792   .0163   .8471  -.0442  -.1240   .0135  -.0200   .6 25.0 99.0  20.25   9.88    .00
  20.45   7.94  20.02   9.02  -3.11   .8053   .2736   .0162   .8495  -.0439  -.1013   .0086  -.0154   .6 25.0 99.0  20.25   8.47    .00
  20.39   6.62  20.09   7.52  -2.60   .8095   .2688   .0161   .8517  -.0434  -.0774   .0038  -.0107   .6 25.0 99.0  20.25   7.06    .00
  20.34   5.30  20.15   6.02  -2.08   .8128   .2653   .0160   .8535  -.0429  -.0530  -.0007  -.0058   .6 25.0 99.0  20.25   5.65    .00
  20.30   3.97  20.19   4.51  -1.56   .8153   .2631   .0156   .8549  -.0422  -.0281  -.0053  -.0009   .6 25.0 99.0  20.25   4.24    .00
  20.27   2.65  20.22   3.01  -1.04   .8170   .2625   .0152   .8564  -.0413  -.0030  -.0104   .0041   .6 25.0 99.0  20.25   2.82    .00
  20.26   1.32  20.24   1.50   -.52   .8181   .2636   .0149   .8577  -.0404   .0217  -.0155   .0090   .6 25.0 99.0  20.25   1.41    .00
  20.25    .00  20.25    .00    .00   .8183   .2662   .0145   .8589  -.0394   .0460  -.0202   .0139   .6 25.0 99.0  20.25    .00    .00
  20.26  -1.32  20.24  -1.50    .52   .8177   .2703   .0141   .8598  -.0386   .0708  -.0247   .0187   .6 25.0 99.0  20.25  -1.41    .00
  20.27  -2.65  20.22  -3.01   1.04   .8162   .2757   .0137   .8604  -.0379   .0963  -.0293   .0233   .6 25.0 99.0  20.25  -2.82    .00
  20.30  -3.97  20.19  -4.51   1.56   .8135   .2827   .0132   .8606  -.0370   .1225  -.0336   .0278   .6 25.0 99.0  20.25  -4.24    .00
  20.34  -5.30  20.15  -6.02   2.08   .8098   .2914   .0127   .8603  -.0359   .1486  -.0372   .0320   .6 25.0 99.0  20.25  -5.65    .00
  20.39  -6.62  20.09  -7.52   2.60   .8055   .3011   .0123   .8600  -.0347   .1736  -.0405   .0361   .6 25.0 99.0  20.25  -7.06    .00
  20.45  -7.94  20.02  -9.02   3.11   .8008   .3119   .0118   .8596  -.0333   .1976  -.0437   .0399   .6 25.0 99.0  20.25  -8.47    .00
  20.53  -9.27  19.94 -10.52   3.62   .7958   .3232   .0114   .8591  -.0319   .2198  -.0470   .0434   .6 25.0 99.0  20.25  -9.88    .00
  20.62 -10.59  19.84 -12.02   4.13   .7904   .3345   .0110   .8583  -.0306   .2396  -.0499   .0467   .6 25.0 99.0  20.25 -11.29    .00
  20.72 -11.91  19.73 -13.51   4.64   .7850   .3454   .0106   .8573  -.0295   .2568  -.0523   .0496   .6 25.0 99.0  20.25 -12.71    .00
  20.83 -13.23  19.61 -15.01   5.14   .7796   .3557   .0102   .8561  -.0285   .2721  -.0544   .0522   .6 25.0 99.0  20.25 -14.12    .00
  20.95 -14.55  19.48 -16.50   5.64   .7744   .3654   .0099   .8549  -.0276   .2862  -.0564   .0544   .6 25.0 99.0  20.25 -15.53    .00
  21.09 -15.87  19.34 -17.99   6.14   .7696   .3740   .0097   .8536  -.0269   .2987  -.0577   .0563   .6 25.0 99.0  20.25 -16.94    .00
  21.24 -17.18  19.18 -19.47   6.63   .7651   .3811   .0096   .8520  -.0263   .3097  -.0582   .0578   .6 25.0 99.0  20.25 -18.35    .00
  21.41 -18.50  19.01 -20.96   7.11   .7611   .3866   .0095   .8503  -.0259   .3191  -.0585   .0590   .6 25.0 99.0  20.25 -19.76    .00
  21.59 -19.81  18.83 -22.44   7.59   .7580   .3903   .0095   .8488  -.0254   .3259  -.0585   .0597   .6 25.0 99.0  20.25 -21.18    .00
  21.78 -21.12  18.64 -23.91   8.07   .7560   .3916   .0095   .8473  -.0250   .3296  -.0579   .0601   .6 25.0 99.0  20.25 -22.59    .00
  21.99 -22.43  18.43 -25.39   8.53   .7551   .3906   .0095   .8461  -.0250   .3315  -.0572   .0601   .6 25.0 99.0  20.25 -24.00    .00
  21.99 -22.43  18.43 -25.39   8.53   .7566   .3950   .0088   .8498  -.0248   .3292  -.0566   .0597   .6 25.0 99.0  20.25 -24.00    .00
