          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  21.99 -22.43  18.43 -25.39   8.53   .7694   .3915   .0066   .8603  -.0308   .3205  -.0540   .0591   .1 25.0 99.0  20.25 -24.00    .00
  21.78 -21.12  18.64 -23.91   8.07   .7706   .3861   .0070   .8594  -.0309   .3170  -.0533   .0582   .1 25.0 99.0  20.25 -22.59    .00
  21.59 -19.81  18.83 -22.44   7.59   .7727   .3796   .0073   .8589  -.0310   .3113  -.0523   .0570   .1 25.0 99.0  20.25 -21.18    .00
  21.41 -18.50  19.01 -20.96   7.11   .7754   .3720   .0078   .8586  -.0313   .3038  -.0511   .0553   .1 25.0 99.0  20.25 -19.76    .00
  21.24 -17.18  19.18 -19.47   6.63   .7785   .3635   .0082   .8583  -.0318   .2943  -.0496   .0533   .1 25.0 99.0  20.25 -18.35    .00
  21.09 -15.87  19.34 -17.99   6.14   .7821   .3543   .0087   .8582  -.0323   .2829  -.0477   .0508   .1 25.0 99.0  20.25 -16.94    .00
  20.95 -14.55  19.48 -16.50   5.64   .7861   .3445   .0092   .8583  -.0329   .2696  -.0456   .0480   .1 25.0 99.0  20.25 -15.53    .00
  20.83 -13.23  19.61 -15.01   5.14   .7905   .3346   .0098   .8586  -.0336   .2545  -.0430   .0450   .1 25.0 99.0  20.25 -14.12    .00
  20.72 -11.91  19.73 -13.51   4.64   .7950   .3242   .0103   .8590  -.0344   .2369  -.0400   .0416   .1 25.0 99.0  20.25 -12.71    .00
  20.62 -10.59  19.84 -12.02   4.13   .7994   .3140   .0109   .8593  -.0353   .2172  -.0366   .0379   .1 25.0 99.0  20.25 -11.29    .00
  20.53  -9.27  19.94 -10.52   3.62   .8038   .3042   .0114   .8597  -.0362   .1959  -.0331   .0339   .1 25.0 99.0  20.25  -9.88    .00
  20.45  -7.94  20.02  -9.02   3.11   .8080   .2950   .0119   .8602  -.0372   .1727  -.0293   .0298   .1 25.0 99.0  20.25  -8.47    .00
  20.39  -6.62  20.09  -7.52   2.60   .8117   .2866   .0123   .8606  -.0383   .1477  -.0252   .0254   .1 25.0 99.0  20.25  -7.06    .00
  20.34  -5.30  20.15  -6.02   2.08   .8149   .2793   .0127   .8608  -.0393   .1216  -.0209   .0209   .1 25.0 99.0  20.25  -5.65    .00
  20.30  -3.97  20.19  -4.51   1.56   .8172   .2733   .0130   .8607  -.0405   .0940  -.0163   .0162   .1 25.0 99.0  20.25  -4.24    .00
  20.27  -2.65  20.22  -3.01   1.04   .8186   .2690   .0133   .8604  -.0416   .0657  -.0116   .0114   .1 25.0 99.0  20.25  -2.82    .00
  20.26  -1.32  20.24  -1.50    .52   .8193   .2662   .0134   .8599  -.0427   .0368  -.0067   .0066   .1 25.0 99.0  20.25  -1.41    .00
  20.25    .00  20.25    .00    .00   .8191   .2651   .0135   .8593  -.0438   .0073  -.0017   .0018   .1 25.0 99.0  20.25    .00    .00
  20.26   1.32  20.24   1.50   -.52   .8179   .2657   .0135   .8585  -.0447  -.0219   .0033  -.0030   .1 25.0 99.0  20.25   1.41    .00
  20.27   2.65  20.22   3.01  -1.04   .8159   .2680   .0135   .8574  -.0456  -.0511   .0083  -.0077   .1 25.0 99.0  20.25   2.82    .00
  20.30   3.97  20.19   4.51  -1.56   .8130   .2721   .0134   .8562  -.0465  -.0797   .0132  -.0123   .1 25.0 99.0  20.25   4.24    .00
  20.34   5.30  20.15   6.02  -2.08   .8094   .2776   .0133   .8549  -.0471  -.1072   .0179  -.0168   .1 25.0 99.0  20.25   5.65    .00
  20.39   6.62  20.09   7.52  -2.60   .8051   .2844   .0131   .8534  -.0477  -.1335   .0224  -.0211   .1 25.0 99.0  20.25   7.06    .00
  20.45   7.94  20.02   9.02  -3.11   .8002   .2921   .0129   .8517  -.0481  -.1581   .0267  -.0252   .1 25.0 99.0  20.25   8.47    .00
  20.53   9.27  19.94  10.52  -3.62   .7951   .3005   .0127   .8499  -.0484  -.1808   .0307  -.0291   .1 25.0 99.0  20.25   9.88    .00
