          70          19
  alpha   beta   sita    psi    phi      CL      CD     Cm     Cnor     Cax     Cy      Cn      Cl     f    V   t  sitaj   psij   phij
  20.62  10.59  19.84  12.02  -4.13   .7898   .3092   .0126   .8482  -.0485  -.2015   .0343  -.0327   .1 25.0 99.0  20.25  11.29    .00
  20.72  11.91  19.73  13.51  -4.64   .7845   .3180   .0124   .8465  -.0486  -.2196   .0375  -.0360   .1 25.0 99.0  20.25  12.71    .00
  20.83  13.23  19.61  15.01  -5.14   .7794   .3265   .0123   .8449  -.0485  -.2353   .0402  -.0389   .1 25.0 99.0  20.25  14.12    .00
  20.95  14.55  19.48  16.50  -5.64   .7749   .3343   .0123   .8436  -.0483  -.2483   .0425  -.0415   .1 25.0 99.0  20.25  15.53    .00
  21.09  15.87  19.34  17.99  -6.14   .7710   .3413   .0123   .8425  -.0480  -.2586   .0443  -.0437   .1 25.0 99.0  20.25  16.94    .00
  21.24  17.18  19.18  19.47  -6.63   .7679   .3468   .0124   .8416  -.0476  -.2661   .0455  -.0454   .1 25.0 99.0  20.25  18.35    .00
  21.41  18.50  19.01  20.96  -7.11   .7656   .3506   .0126   .8409  -.0472  -.2709   .0463  -.0467   .1 25.0 99.0  20.25  19.76    .00
  21.59  19.81  18.83  22.44  -7.59   .7643   .3526   .0129   .8405  -.0467  -.2728   .0466  -.0476   .1 25.0 99.0  20.25  21.18    .00
  21.78  21.12  18.64  23.91  -8.07   .7643   .3526   .0132   .8405  -.0462  -.2723   .0464  -.0480   .1 25.0 99.0  20.25  22.59    .00
  21.99  22.43  18.43  25.39  -8.53   .7655   .3505   .0135   .8408  -.0458  -.2696   .0458  -.0480   .1 25.0 99.0  20.25  24.00    .00
  21.78  21.12  18.64  23.91  -8.07   .7678   .3463   .0139   .8415  -.0453  -.2650   .0449  -.0475   .1 25.0 99.0  20.25  22.59    .00
  21.59  19.81  18.83  22.44  -7.59   .7709   .3415   .0143   .8426  -.0449  -.2587   .0437  -.0465   .1 25.0 99.0  20.25  21.18    .00
  21.41  18.50  19.01  20.96  -7.11   .7746   .3360   .0146   .8440  -.0446  -.2508   .0422  -.0451   .1 25.0 99.0  20.25  19.76    .00
  21.24  17.18  19.18  19.47  -6.63   .7789   .3298   .0150   .8457  -.0443  -.2412   .0404  -.0433   .1 25.0 99.0  20.25  18.35    .00
  21.09  15.87  19.34  17.99  -6.14   .7837   .3232   .0153   .8477  -.0441  -.2301   .0383  -.0411   .1 25.0 99.0  20.25  16.94    .00
  20.95  14.55  19.48  16.50  -5.64   .7889   .3163   .0157   .8501  -.0439  -.2173   .0358  -.0385   .1 25.0 99.0  20.25  15.53    .00
  20.83  13.23  19.61  15.01  -5.14   .7945   .3092   .0160   .8526  -.0436  -.2029   .0331  -.0355   .1 25.0 99.0  20.25  14.12    .00
  20.72  11.91  19.73  13.51  -4.64   .8001   .3020   .0162   .8552  -.0434  -.1869   .0301  -.0322   .1 25.0 99.0  20.25  12.71    .00
  20.62  10.59  19.84  12.02  -4.13   .8055   .2949   .0164   .8577  -.0431  -.1692   .0269  -.0286   .1 25.0 99.0  20.25  11.29    .00
  20.53   9.27  19.94  10.52  -3.62   .8107   .2882   .0165   .8600  -.0429  -.1502   .0234  -.0246   .1 25.0 99.0  20.25   9.88    .00
  20.45   7.94  20.02   9.02  -3.11   .8155   .2822   .0165   .8622  -.0426  -.1298   .0197  -.0204   .1 25.0 99.0  20.25   8.47    .00
  20.39   6.62  20.09   7.52  -2.60   .8197   .2769   .0164   .8642  -.0423  -.1082   .0158  -.0161   .1 25.0 99.0  20.25   7.06    .00
  20.34   5.30  20.15   6.02  -2.08   .8233   .2726   .0162   .8660  -.0420  -.0854   .0117  -.0116   .1 25.0 99.0  20.25   5.65    .00
  20.30   3.97  20.19   4.51  -1.56   .8263   .2696   .0160   .8676  -.0416  -.0616   .0075  -.0069   .1 25.0 99.0  20.25   4.24    .00
  20.27   2.65  20.22   3.01  -1.04   .8286   .2680   .0157   .8691  -.0412  -.0370   .0032  -.0022   .1 25.0 99.0  20.25   2.82    .00
  20.26   1.32  20.24   1.50   -.52   .8300   .2679   .0153   .8704  -.0408  -.0117  -.0012   .0026   .1 25.0 99.0  20.25   1.41    .00
  20.25    .00  20.25    .00    .00   .8305   .2694   .0148   .8714  -.0403   .0140  -.0057   .0074   .1 25.0 99.0  20.25    .00    .00
  20.26  -1.32  20.24  -1.50    .52   .8301   .2725   .0143   .8722  -.0398   .0400  -.0102   .0121   .1 25.0 99.0  20.25  -1.41    .00
  20.27  -2.65  20.22  -3.01   1.04   .8288   .2771   .0137   .8727  -.0392   .0660  -.0146   .0168   .1 25.0 99.0  20.25  -2.82    .00
  20.30  -3.97  20.19  -4.51   1.56   .8265   .2833   .0132   .8729  -.0386   .0918  -.0189   .0214   .1 25.0 99.0  20.25  -4.24    .00
  20.34  -5.30  20.15  -6.02   2.08   .8233   .2910   .0125   .8728  -.0380   .1172  -.0232   .0258   .1 25.0 99.0  20.25  -5.65    .00
  20.39  -6.62  20.09  -7.52   2.60   .8195   .2997   .0119   .8724  -.0373   .1419  -.0273   .0301   .1 25.0 99.0  20.25  -7.06    .00
  20.45  -7.94  20.02  -9.02   3.11   .8151   .3092   .0112   .8719  -.0366   .1657  -.0312   .0342   .1 25.0 99.0  20.25  -8.47    .00
  20.53  -9.27  19.94 -10.52   3.62   .8103   .3195   .0106   .8712  -.0359   .1884  -.0349   .0380   .1 25.0 99.0  20.25  -9.88    .00
  20.62 -10.59  19.84 -12.02   4.13   .8052   .3302   .0100   .8704  -.0352   .2099  -.0384   .0416   .1 25.0 99.0  20.25 -11.29    .00
  20.72 -11.91  19.73 -13.51   4.64   .7998   .3409   .0094   .8693  -.0345   .2299  -.0415   .0449   .1 25.0 99.0  20.25 -12.71    .00
  20.83 -13.23  19.61 -15.01   5.14   .7944   .3511   .0088   .8680  -.0338   .2480  -.0444   .0479   .1 25.0 99.0  20.25 -14.12    .00
  20.95 -14.55  19.48 -16.50   5.64   .7890   .3607   .0084   .8666  -.0332   .2644  -.0469   .0505   .1 25.0 99.0  20.25 -15.53    .00
  21.09 -15.87  19.34 -17.99   6.14   .7841   .3694   .0080   .8652  -.0326   .2788  -.0490   .0528   .1 25.0 99.0  20.25 -16.94    .00
  21.24 -17.18  19.18 -19.47   6.63   .7796   .3766   .0077   .8637  -.0321   .2911  -.0508   .0547   .1 25.0 99.0  20.25 -18.35    .00
  21.41 -18.50  19.01 -20.96   7.11   .7757   .3822   .0075   .8622  -.0316   .3012  -.0522   .0563   .1 25.0 99.0  20.25 -19.76    .00
  21.59 -19.81  18.83 -22.44   7.59   .7727   .3860   .0074   .8607  -.0313   .3092  -.0533   .0574   .1 25.0 99.0  20.25 -21.18    .00
  21.78 -21.12  18.64 -23.91   8.07   .7705   .3877   .0073   .8593  -.0310   .3151  -.0541   .0582   .1 25.0 99.0  20.25 -22.59    .00
  21.99 -22.43  18.43 -25.39   8.53   .7694   .3872   .0074   .8579  -.0309   .3191  -.0545   .0586   .1 25.0 99.0  20.25 -24.00    .00
  21.99 -22.43  18.43 -25.39   8.53   .7694   .3915   .0066   .8603  -.0308   .3205  -.0540   .0591   .1 25.0 99.0  20.25 -24.00    .00
